Player,Tkl,Dribbles.Tkl,Pressures %,Blocks,Clr,Country,Year,Comp
Maciej Rybus,0,0,18.2,1,1,Poland,2021, UEFA Euro
Przemysaw Frankowski,2,2,14.3,0,0,Poland,2021, UEFA Euro
Ruben Dias,4,1,40.0,3,23,Portugal,2021, UEFA Euro
Raphael Guerreiro,6,1,50.0,7,3,Portugal,2021, UEFA Euro
Rui Patricio,0,0,100.0,0,0,Portugal,2021, UEFA Euro
Pepe,6,2,30.8,5,11,Portugal,2021, UEFA Euro
Cristiano Ronaldo,2,0,36.8,1,2,Portugal,2021, UEFA Euro
Diogo Jota,4,0,19.0,2,1,Portugal,2021, UEFA Euro
Bernardo Silva,6,1,25.0,2,2,Portugal,2021, UEFA Euro
Nelson Semedo,12,6,34.9,4,2,Portugal,2021, UEFA Euro
Danilo Pereira,7,1,24.1,1,5,Portugal,2021, UEFA Euro
Renato Sanches,6,4,48.0,2,1,Portugal,2021, UEFA Euro
Bruno Fernandes,4,3,33.3,4,1,Portugal,2021, UEFA Euro
Joao Moutinho,3,0,17.9,1,0,Portugal,2021, UEFA Euro
William Carvalho,3,1,28.6,1,4,Portugal,2021, UEFA Euro
Joao Palhinha,9,2,21.4,1,1,Portugal,2021, UEFA Euro
Diogo Dalot,3,0,33.3,1,2,Portugal,2021, UEFA Euro
Georgi Dzhikiya,5,3,33.3,3,15,Russia,2021, UEFA Euro
Aleksandr Golovin,5,3,27.4,6,0,Russia,2021, UEFA Euro
Artem Dzyuba,0,0,37.9,4,2,Russia,2021, UEFA Euro
Roman Zobnin,8,2,21.3,5,2,Russia,2021, UEFA Euro
Magomed Ozdoyev,8,2,42.6,4,4,Russia,2021, UEFA Euro
Mario Fernandes,3,3,19.4,6,5,Russia,2021, UEFA Euro
Daler Kuzyaev,5,2,34.8,0,5,Russia,2021, UEFA Euro
Igor Diveev,6,3,41.9,6,21,Russia,2021, UEFA Euro
Matvei Safonov,0,0,,0,0,Russia,2021, UEFA Euro
Aleksei Miranchuk,2,1,38.7,2,0,Russia,2021, UEFA Euro
Dmitri Barinov,2,0,27.6,3,4,Russia,2021, UEFA Euro
Andrei Semyonov,0,0,50.0,1,3,Russia,2021, UEFA Euro
Anton Shunin,0,0,,0,0,Russia,2021, UEFA Euro
Fyodor Kudryashov,4,2,16.7,0,5,Russia,2021, UEFA Euro
Yuri Zhirkov,0,0,33.3,0,1,Russia,2021, UEFA Euro
David Marshall,0,0,,0,1,Scotland,2021, UEFA Euro
John McGinn,7,3,31.2,1,3,Scotland,2021, UEFA Euro
Scott McTominay,6,3,26.5,7,6,Scotland,2021, UEFA Euro
Andrew Robertson,4,1,26.8,4,7,Scotland,2021, UEFA Euro
Lyndon Dykes,0,0,18.9,1,3,Scotland,2021, UEFA Euro
Stephen O'Donnell,5,1,23.4,3,5,Scotland,2021, UEFA Euro
Grant Hanley,6,1,35.3,4,22,Scotland,2021, UEFA Euro
Che Adams,1,0,26.3,1,1,Scotland,2021, UEFA Euro
Callum McGregor,2,1,17.3,3,1,Scotland,2021, UEFA Euro
Kieran Tierney,1,0,33.3,3,7,Scotland,2021, UEFA Euro
Stuart Armstrong,5,2,18.9,2,2,Scotland,2021, UEFA Euro
Liam Cooper,2,1,10.5,2,8,Scotland,2021, UEFA Euro
Billy Gilmour,3,0,30.0,1,0,Scotland,2021, UEFA Euro
Jack Hendry,0,0,33.3,1,4,Scotland,2021, UEFA Euro
Ryan Christie,1,1,15.4,0,0,Scotland,2021, UEFA Euro
Martin Dubravka,0,0,0.0,0,0,Slovakia,2021, UEFA Euro
Juraj Kucka,7,2,29.2,6,10,Slovakia,2021, UEFA Euro
Lubomir Satka,3,1,39.1,4,20,Slovakia,2021, UEFA Euro
Milan Skriniar,4,1,30.8,8,27,Slovakia,2021, UEFA Euro
Tomas Hubocan,7,4,25.0,10,12,Slovakia,2021, UEFA Euro
Marek Hamsik,3,1,28.2,2,0,Slovakia,2021, UEFA Euro
Peter Pekarik,4,3,19.5,2,5,Slovakia,2021, UEFA Euro
Robert Mak,1,0,14.3,3,2,Slovakia,2021, UEFA Euro
Ondrej Duda,4,2,16.7,4,5,Slovakia,2021, UEFA Euro
Lukas Haraslin,5,2,32.3,3,3,Slovakia,2021, UEFA Euro
Jakub Hromada,1,0,25.6,5,4,Slovakia,2021, UEFA Euro
Martin Koscelnik,2,1,24.1,2,4,Slovakia,2021, UEFA Euro
Patrik Hrosovsky,1,0,21.6,2,1,Slovakia,2021, UEFA Euro
Michal Duris,0,0,5.9,0,2,Slovakia,2021, UEFA Euro
Stanislav Lobotka,0,0,27.3,1,0,Slovakia,2021, UEFA Euro
Aymeric Laporte,5,3,43.2,2,25,Spain,2021, UEFA Euro
Unai Simon,0,0,,0,1,Spain,2021, UEFA Euro
Pedri,7,3,36.5,8,1,Spain,2021, UEFA Euro
Koke,11,5,40.2,4,3,Spain,2021, UEFA Euro
Jordi Alba,12,6,40.0,13,9,Spain,2021, UEFA Euro
Alvaro Morata,10,1,31.3,4,2,Spain,2021, UEFA Euro
Cesar Azpilicueta,4,0,46.3,11,7,Spain,2021, UEFA Euro
Sergio Busquets,11,3,38.6,5,6,Spain,2021, UEFA Euro
Ferran Torres,3,0,25.5,7,0,Spain,2021, UEFA Euro
Dani Olmo,6,3,26.7,8,4,Spain,2021, UEFA Euro
Pau Torres,4,1,50.0,3,11,Spain,2021, UEFA Euro
Pablo Sarabia,2,1,37.9,1,1,Spain,2021, UEFA Euro
Eric Garcia,3,2,30.8,1,4,Spain,2021, UEFA Euro
Gerard Moreno,4,3,50.0,5,0,Spain,2021, UEFA Euro
Marcos Llorente,3,3,46.4,3,3,Spain,2021, UEFA Euro
Victor Lindelof,1,0,35.0,6,26,Sweden,2021, UEFA Euro
Robin Olsen,0,0,,0,0,Sweden,2021, UEFA Euro
Albin Ekdal,9,2,25.0,8,7,Sweden,2021, UEFA Euro
Emil Forsberg,2,1,30.0,5,4,Sweden,2021, UEFA Euro
Marcus Danielsson,1,0,25.8,4,43,Sweden,2021, UEFA Euro
Seb Larsson,8,3,22.7,10,8,Sweden,2021, UEFA Euro
Ludwig Augustinsson,6,3,30.8,4,14,Sweden,2021, UEFA Euro
Kristoffer Olsson,4,2,22.2,6,5,Sweden,2021, UEFA Euro
Alexander Isak,2,1,18.6,3,2,Sweden,2021, UEFA Euro
Mikael Lustig,4,1,13.6,7,17,Sweden,2021, UEFA Euro
Marcus Berg,1,0,14.7,3,1,Sweden,2021, UEFA Euro
Dejan Kulusevski,0,0,35.7,3,0,Sweden,2021, UEFA Euro
Robin Quaison,2,0,25.0,2,1,Sweden,2021, UEFA Euro
Viktor Claesson,1,1,32.1,2,1,Sweden,2021, UEFA Euro
Emil Krafth,0,0,33.3,4,5,Sweden,2021, UEFA Euro
Manuel Akanji,13,7,30.8,11,20,Switzerland,2021, UEFA Euro
Nico Elvedi,11,7,22.4,4,31,Switzerland,2021, UEFA Euro
Yann Sommer,0,0,,0,0,Switzerland,2021, UEFA Euro
Ricardo Rodriguez,13,2,19.4,11,10,Switzerland,2021, UEFA Euro
Remo Freuler,11,2,28.3,8,7,Switzerland,2021, UEFA Euro
Haris Seferovic,0,0,21.1,4,3,Switzerland,2021, UEFA Euro
Xherdan Shaqiri,3,1,12.8,2,0,Switzerland,2021, UEFA Euro
Breel Embolo,6,2,26.0,3,4,Switzerland,2021, UEFA Euro
Granit Xhaka,10,3,17.1,6,6,Switzerland,2021, UEFA Euro
Silvan Widmer,8,4,25.4,3,5,Switzerland,2021, UEFA Euro
Steven Zuber,4,0,23.9,0,2,Switzerland,2021, UEFA Euro
Kevin Mbabu,10,7,26.0,6,8,Switzerland,2021, UEFA Euro
Fabian Schar,1,0,21.7,4,3,Switzerland,2021, UEFA Euro
Denis Zakaria,3,0,31.6,2,0,Switzerland,2021, UEFA Euro
Ruben Vargas,4,1,35.5,2,5,Switzerland,2021, UEFA Euro
Ugurcan Cakr,0,0,0.0,0,0,Turkey,2021, UEFA Euro
Zeki Celik,5,3,19.4,10,4,Turkey,2021, UEFA Euro
Caglar Soyuncu,5,3,26.5,6,14,Turkey,2021, UEFA Euro
Burak Ylmaz,2,1,20.6,0,6,Turkey,2021, UEFA Euro
Hakan Calhanoglu,1,0,25.0,1,0,Turkey,2021, UEFA Euro
Ozan Tufan,2,0,21.7,2,0,Turkey,2021, UEFA Euro
Merih Demiral,5,0,26.2,6,17,Turkey,2021, UEFA Euro
Cengiz Under,3,1,15.4,4,1,Turkey,2021, UEFA Euro
Kaan Ayhan,1,1,37.0,1,6,Turkey,2021, UEFA Euro
Umut Meras,1,1,25.0,5,4,Turkey,2021, UEFA Euro
Kenan Karaman,2,1,17.1,1,0,Turkey,2021, UEFA Euro
Okay Yokuslu,5,2,32.0,4,9,Turkey,2021, UEFA Euro
Yusuf Yazc,1,0,21.2,0,0,Turkey,2021, UEFA Euro
Irfan Kahveci,2,0,15.0,2,0,Turkey,2021, UEFA Euro
Mert Muldur,6,1,30.8,1,2,Turkey,2021, UEFA Euro
Heorhiy Bushchan,0,0,100.0,0,1,Ukraine,2021, UEFA Euro
Oleksandr Karavayev,6,2,26.1,12,7,Ukraine,2021, UEFA Euro
Mykola Matviyenko,7,2,36.2,13,30,Ukraine,2021, UEFA Euro
Illia Zabarnyi,5,3,27.6,14,28,Ukraine,2021, UEFA Euro
Oleksandr Zinchenko,12,3,37.4,14,11,Ukraine,2021, UEFA Euro
Andriy Yarmolenko,3,0,27.7,4,3,Ukraine,2021, UEFA Euro
Roman Yaremchuk,4,0,18.3,2,1,Ukraine,2021, UEFA Euro
Serhiy Sydorchuk,8,1,31.4,5,3,Ukraine,2021, UEFA Euro
Vitaliy Mykolenko,11,5,48.8,7,9,Ukraine,2021, UEFA Euro
Mykola Shaparenko,10,5,17.1,9,2,Ukraine,2021, UEFA Euro
Ruslan Malinovskyi,4,2,28.9,6,0,Ukraine,2021, UEFA Euro
Taras Stepanenko,5,0,27.5,4,4,Ukraine,2021, UEFA Euro
Serhiy Kryvtsov,1,0,16.7,1,8,Ukraine,2021, UEFA Euro
Oleksandr Zubkov,0,0,,0,0,Ukraine,2021, UEFA Euro
Viktor Tsyhankov,1,1,17.2,0,1,Ukraine,2021, UEFA Euro
Jose Maria Gimenez,9,2,29.0,14,25,Uruguay,2021, Copa America
Fernando Muslera,0,0,0.0,0,0,Uruguay,2021, Copa America
Matias Vina,10,3,22.7,10,17,Uruguay,2021, Copa America
Edinson Cavani,3,2,15.4,1,2,Uruguay,2021, Copa America
Federico Valverde,14,3,33.8,3,1,Uruguay,2021, Copa America
Diego Godin,5,3,39.5,5,14,Uruguay,2021, Copa America
Luis Suarez,2,2,23.8,1,3,Uruguay,2021, Copa America
Matias Vecino,17,7,36.1,11,8,Uruguay,2021, Copa America
Giorgian De Arrascaeta,5,1,25.4,5,0,Uruguay,2021, Copa America
Nicolas De La Cruz,9,4,27.3,4,0,Uruguay,2021, Copa America
Nahitan Nandez,13,5,36.1,8,6,Uruguay,2021, Copa America
Rodrigo Bentancur,11,3,23.7,10,3,Uruguay,2021, Copa America
Giovanni Gonzalez,1,1,35.0,3,3,Uruguay,2021, Copa America
Lucas Torreira,3,1,12.5,1,1,Uruguay,2021, Copa America
Facundo Torres,3,1,21.7,2,0,Uruguay,2021, Copa America
Luis Mago,10,5,31.4,6,21,Venezuela,2021, Copa America
Junior Moreno,6,2,32.9,6,8,Venezuela,2021, Copa America
Cristian Casseres Jr.,5,1,15.6,5,1,Venezuela,2021, Copa America
Alexander Gonzalez,6,5,19.0,6,6,Venezuela,2021, Copa America
Jose Andres Martinez,9,6,30.6,4,1,Venezuela,2021, Copa America
Wuilker Farinez,0,0,50.0,0,0,Venezuela,2021, Copa America
Adrian Martinez,7,3,42.9,7,21,Venezuela,2021, Copa America
Yohan Cumana,2,2,26.8,10,7,Venezuela,2021, Copa America
Fernando Aristeguieta,4,2,17.7,2,2,Venezuela,2021, Copa America
Francisco La Mantia,1,0,21.4,4,12,Venezuela,2021, Copa America
Edson Castillo,9,6,34.1,3,4,Venezuela,2021, Copa America
Bernaldo Manzano,1,1,16.7,1,4,Venezuela,2021, Copa America
Sergio Cordova,1,0,20.0,2,1,Venezuela,2021, Copa America
Ronald Hernandez,2,1,62.5,1,1,Venezuela,2021, Copa America
Nahuel Ferraresi,2,2,12.5,1,3,Venezuela,2021, Copa America
Joe Rodon,2,1,28.6,7,26,Wales,2021, UEFA Euro
Danny Ward,0,0,,0,0,Wales,2021, UEFA Euro
Gareth Bale,1,0,12.5,4,5,Wales,2021, UEFA Euro
Aaron Ramsey,7,0,19.5,4,2,Wales,2021, UEFA Euro
Joe Allen,6,0,22.1,2,6,Wales,2021, UEFA Euro
Daniel James,4,0,18.5,4,1,Wales,2021, UEFA Euro
Connor Roberts,2,1,26.1,9,5,Wales,2021, UEFA Euro
Joe Morrell,6,4,22.2,5,8,Wales,2021, UEFA Euro
Kieffer Moore,0,0,24.0,1,7,Wales,2021, UEFA Euro
Ben Davies,6,4,17.4,7,15,Wales,2021, UEFA Euro
Chris Mepham,7,4,33.3,9,20,Wales,2021, UEFA Euro
Neco Williams,0,0,14.3,3,5,Wales,2021, UEFA Euro
Chris Gunter,1,1,33.3,0,4,Wales,2021, UEFA Euro
Ethan Ampadu,4,2,36.4,2,4,Wales,2021, UEFA Euro
Harry Wilson,3,1,20.0,1,1,Wales,2021, UEFA Euro
