,NomDesClubs,lienClubDetails,logoLinks
2441,SC Weiche Flensburg 08,https://fbref.com/fr/equipes/b979b61c/historique/Stats-et-historique-de-SC-Weiche-Flensburg-08,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/b979b61c.png"""
2442,SC Wiedenbrück 2000,https://fbref.com/fr/equipes/ef1802ee/historique/Stats-et-historique-de-Wiedenbruck,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/ef1802ee.png"""
2443,SG 99 Andernach,https://fbref.com/fr/equipes/62006b94/historique/Stats-et-historique-de-SG-99-Andernach,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/62006b94.png"""
2444,SG Dynamo Dresden U17,https://fbref.com/fr/equipes/4e32ce87/historique/Stats-et-historique-de-SG-Dynamo-Dresden-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/4e32ce87.png"""
2445,SG Dynamo Dresden U19,https://fbref.com/fr/equipes/e7f2df64/historique/Stats-et-historique-de-SG-Dynamo-Dresden-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/e7f2df64.png"""
2446,SG Sonnenhof Großaspach,https://fbref.com/fr/equipes/a5e62940/historique/Stats-et-historique-de-Sonnenhof-Grossaspach,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/a5e62940.png"""
2447,SG Unterrath U17,https://fbref.com/fr/equipes/c7038b7d/historique/Stats-et-historique-de-SG-Unterrath-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/c7038b7d.png"""
2448,SG Wattenscheid 09,https://fbref.com/fr/equipes/6f7db76a/historique/Stats-et-historique-de-Wattenscheid,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/6f7db76a.png"""
2449,SGS Essen,https://fbref.com/fr/equipes/becc1dd0/historique/Stats-et-historique-de-Essen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/becc1dd0.png"""
2450,Sportfreunde Dorfmerkingen,https://fbref.com/fr/equipes/cf68b22f/historique/Stats-et-historique-de-Sportfreunde-Dorfmerkingen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/cf68b22f.png"""
2451,Sportfreunde Lotte,https://fbref.com/fr/equipes/1573023f/historique/Stats-et-historique-de-Sportfreunde-Lotte,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/1573023f.png"""
2452,Sportfreunde Siegen,https://fbref.com/fr/equipes/405a2854/historique/Stats-et-historique-de-Sportfreunde-Siegen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/405a2854.png"""
2453,Sportfreunde Siegen,https://fbref.com/fr/equipes/d5169ceb/historique/Stats-et-historique-de-Sportfreunde-Siegen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/d5169ceb.png"""
2454,SpVg Berghofen,https://fbref.com/fr/equipes/b4b4ac38/historique/Stats-et-historique-de-SpVg-Berghofen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/b4b4ac38.png"""
2455,SpVgg Bayreuth,https://fbref.com/fr/equipes/65d9c04a/historique/Stats-et-historique-de-SpVgg-Bayreuth,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/65d9c04a.png"""
2456,SpVgg Germania 1929 Ebing,https://fbref.com/fr/equipes/92a059ee/historique/Stats-et-historique-de-SpVgg-Germania-1929-Ebing,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/92a059ee.png"""
2457,SpVgg Greuther Fürth,https://fbref.com/fr/equipes/12192a4c/historique/Stats-et-historique-de-Greuther-Furth,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/12192a4c.png"""
2458,SpVgg Greuther Fürth 1903 U17,https://fbref.com/fr/equipes/7880a87b/historique/Stats-et-historique-de-SpVgg-Greuther-Furth-1903-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/7880a87b.png"""
2459,SpVgg Greuther Fürth 1903 U19,https://fbref.com/fr/equipes/5af9af80/historique/Stats-et-historique-de-SpVgg-Greuther-Furth-1903-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/5af9af80.png"""
2460,SpVgg Herne-Horsthausen,https://fbref.com/fr/equipes/46c46f2d/historique/Stats-et-historique-de-SpVgg-Herne-Horsthausen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/46c46f2d.png"""
2461,SpVgg Unterhaching,https://fbref.com/fr/equipes/ba68a0c5/historique/Stats-et-historique-de-Unterhaching,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/ba68a0c5.png"""
2462,SpVgg Unterhaching U17,https://fbref.com/fr/equipes/c1893176/historique/Stats-et-historique-de-SpVgg-Unterhaching-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/c1893176.png"""
2463,SpVgg Unterhaching U19,https://fbref.com/fr/equipes/ec68d97a/historique/Stats-et-historique-de-SpVgg-Unterhaching-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/ec68d97a.png"""
