,pays,nombreDeClubs,lienDesClubs
66,San Marino,12,https://fbref.com/fr/pays/clubs/SMR/Clubs-de-football-de-San-Marino
67,Saudi Arabia,25,https://fbref.com/fr/pays/clubs/KSA/Clubs-de-football-de-Saudi-Arabia
68,Scotland,39,https://fbref.com/fr/pays/clubs/SCO/Clubs-de-football-de-Scotland
69,Serbia,40,https://fbref.com/fr/pays/clubs/SRB/Clubs-de-football-de-Serbia
70,Slovakia,19,https://fbref.com/fr/pays/clubs/SVK/Clubs-de-football-de-Slovakia
71,Slovenia,15,https://fbref.com/fr/pays/clubs/SVN/Clubs-de-football-de-Slovenia
72,South Africa,29,https://fbref.com/fr/pays/clubs/RSA/Clubs-de-football-de-South-Africa
73,South Korea,17,https://fbref.com/fr/pays/clubs/KOR/Clubs-de-football-de-Korea-Republic
74,Spain,258,https://fbref.com/fr/pays/clubs/ESP/Clubs-de-football-de-Spain
75,Sweden,73,https://fbref.com/fr/pays/clubs/SWE/Clubs-de-football-de-Sweden
76,Switzerland,21,https://fbref.com/fr/pays/clubs/SUI/Clubs-de-football-de-Switzerland
77,Turkey,51,https://fbref.com/fr/pays/clubs/TUR/Clubs-de-football-de-Turkey
78,Ukraine,39,https://fbref.com/fr/pays/clubs/UKR/Clubs-de-football-de-Ukraine
79,United States,120,https://fbref.com/fr/pays/clubs/USA/Clubs-de-football-de-United-States
80,Uruguay,25,https://fbref.com/fr/pays/clubs/URU/Clubs-de-football-de-Uruguay
81,Venezuela,29,https://fbref.com/fr/pays/clubs/VEN/Clubs-de-football-de-Venezuela
82,Wales,21,https://fbref.com/fr/pays/clubs/WAL/Clubs-de-football-de-Wales
