,_id,player,manager,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp,count(manager)
48,6193c0a3d4e110bca6418a32,Romario-Moise,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
49,6193c0a3d4e110bca6418a33,Liam-Millar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50,6193c0a3d4e110bca6418a34,Bruno-Miranda,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
51,6193c0a3d4e110bca6418a35,Damon-Mirani,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
52,6193c0a3d4e110bca6418a36,Gerasimos-Mitoglou,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53,6193c0a3d4e110bca6418a37,Kassandra-Missipo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54,6193c0a3d4e110bca6418a38,Oslimg-Mora,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55,6193c0a3d4e110bca6418a39,Taylor-Moore,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,6193c0a3d4e110bca6418a3a,Suma-Mohamed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
57,6193c0a3d4e110bca6418a3b,Todd-Miller,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
58,6193c0a3d4e110bca6418a3c,Denys-Miroshnichenko,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59,6193c0a3d4e110bca6418a3d,Adrien-Monfray,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
60,6193c0a3d4e110bca6418a3e,Lewis-Montsma,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61,6193c0a3d4e110bca6418a3f,Pere-Milla,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
62,6193c0a3d4e110bca6418a40,Metacha-Mnata,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
63,6193c0a3d4e110bca6418a41,Nemanja-Miletic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64,6193c0a3d4e110bca6418a42,Eydgerd-Mikkelsen,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
65,6193c0a3d4e110bca6418a43,Robert-Miskovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66,6193c0a3d4e110bca6418a44,Marko-Milovanovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
67,6193c0a3d4e110bca6418a45,Mohamed-Mezghrani,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
68,6193c0a3d4e110bca6418a46,Lorenzo-Montipo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
69,6193c0a3d4e110bca6418a47,Alex-Moreno,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70,6193c0a3d4e110bca6418a48,Jordan-Moore-Taylor,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
