Player,Min,CS%,PKsv,PKm,Country,Year,Comp
Mazlan Wahid,90,0.0,0.0,0.0,Malaysia,2002, WCQ — AFC (M)
Oscar Perez Rojas,360,25.0,0.0,0.0,Mexico,2002, FIFA World Cup
Cecil Lake,180,0.0,0.0,0.0,Montserrat,2002, WCQ — CONCACAF (M)
Danny Tellez,286,0.0,0.0,0.0,Nicaragua,2002, WCQ — CONCACAF (M)
Ike Shorunmu,180,0.0,0.0,0.0,Nigeria,2002, FIFA World Cup
Sulaiman Al-Mazroui,540,83.3,0.0,0.0,Oman,2002, WCQ — AFC (M)
Ricardo James,720,37.5,0.0,0.0,Panama,2002, WCQ — CONCACAF (M)
Jose Luis Chilavert,270,0.0,0.0,0.0,Paraguay,2002, FIFA World Cup
Edmundo Mercado,540,0.0,0.0,0.0,Philippines,2002, WCQ — AFC (M)
Jerzy Dudek,180,0.0,0.0,0.0,Poland,2002, FIFA World Cup
Vitor Baia,270,33.3,0.0,0.0,Portugal,2002, FIFA World Cup
Hector Avila,90,0.0,0.0,0.0,Puerto,2002, WCQ — CONCACAF (M)
Amer Al Kaabi,90,0.0,0.0,0.0,Qatar,2002, WCQ — AFC (M)
Shay Given,390,25.0,0.0,0.0,Republic,2002, FIFA World Cup
Ruslan Nigmatullin,270,33.3,0.0,0.0,Russia,2002, FIFA World Cup
Akil Byron,270,33.3,0.0,0.0,Saint,2002, WCQ — CONCACAF (M)
Abraham Mentor,210,50.0,0.0,0.0,Saint,2002, WCQ — CONCACAF (M)
Melvin Andrews,"1,080",25.0,0.0,0.0,Saint,2002, WCQ — CONCACAF (M)
Mohamed Al-Deayea,270,0.0,0.0,0.0,Saudi,2002, FIFA World Cup
Tony Sylva,510,20.0,0.0,0.0,Senegal,2002, FIFA World Cup
Marko Simeunovic,180,0.0,0.0,0.0,Slovenia,2002, FIFA World Cup
Andre Arendse,270,33.3,0.0,0.0,South,2002, FIFA World Cup
Iker Casillas,510,20.0,0.0,0.0,Spain,2002, FIFA World Cup
Roel Tempo,390,50.0,0.0,0.0,Suriname,2002, WCQ — CONCACAF (M)
Magnus Hedman,390,0.0,0.0,0.0,Sweden,2002, FIFA World Cup
Mohamad Bairouti,540,50.0,0.0,0.0,Syria,2002, WCQ — AFC (M)
Alexandr Mukanin,180,50.0,0.0,0.0,Tajikistan,2002, WCQ — AFC (M)
Clayton Ince,"1,170",46.2,0.0,0.0,Trinidad,2002, WCQ — CONCACAF (M)
Ali Boumnijel,270,0.0,0.0,0.0,Tunisia,2002, FIFA World Cup
Rustu Recber,605,42.9,0.0,0.0,Turkey,2002, FIFA World Cup
Colin Sterling,90,0.0,0.0,0.0,Turks,2002, WCQ — CONCACAF (M)
Terrence Jones,180,0.0,0.0,0.0,United,2002, WCQ — CONCACAF (M)
Brad Friedel,450,20.0,0.0,0.0,United,2002, FIFA World Cup
Fabian Carini,270,33.3,0.0,0.0,Uruguay,2002, FIFA World Cup
Dida,270,33.3,0.0,0.0,Brazil,2003, FIFA Confederations Cup
Carlos Kameni,390,75.0,0.0,0.0,Cameroon,2003, FIFA Confederations Cup
Oscar Cordoba,450,20.0,0.0,0.0,Colombia,2003, FIFA Confederations Cup
Fabien Barthez,210,50.0,0.0,0.0,France,2003, FIFA Confederations Cup
Seigo Narazaki,270,33.3,0.0,0.0,Japan,2003, FIFA Confederations Cup
Michael Utting,270,0.0,0.0,0.0,New,2003, FIFA Confederations Cup
Rustu Recber,216,0.0,0.0,0.0,Turkey,2003, FIFA Confederations Cup
Tim Howard,270,33.3,0.0,0.0,United,2003, FIFA Confederations Cup
Jamshed,90,0.0,0.0,0.0,Afghanistan,2004, AFC Asian Cup qualification
Ali Saeed Abdulla,510,0.0,0.0,0.0,Bahrain,2004, Asian Cup
Titumir Chowdhury,90,0.0,0.0,0.0,Bangladesh,2004, AFC Asian Cup qualification
Jigme Singye,589,28.6,0.0,0.0,Bhutan,2004, AFC Asian Cup qualification
Wardun Yussof,180,0.0,0.0,0.0,Brunei,2004, AFC Asian Cup qualification
Zdravko Zdravkov,270,0.0,0.0,0.0,Bulgaria,2004, UEFA Euro
Liu Yunfei,570,50.0,0.0,0.0,China,2004, Asian Cup
Yang Cheng-hsing,90,0.0,0.0,0.0,Chinese,2004, AFC Asian Cup qualification
Tomislav Butina,270,33.3,0.0,0.0,Croatia,2004, UEFA Euro
Petr Cech,390,25.0,0.0,0.0,Czech,2004, UEFA Euro
Thomas Srensen,360,50.0,0.0,0.0,Denmark,2004, UEFA Euro
David James,390,25.0,0.0,0.0,England,2004, UEFA Euro
Fabien Barthez,360,0.0,1.0,0.0,France,2004, UEFA Euro
Oliver Kahn,270,33.3,0.0,0.0,Germany,2004, UEFA Euro
Antonios Nikopolidis,480,40.0,0.0,0.0,Greece,2004, UEFA Euro
Jordan Smith,180,0.0,0.0,0.0,Guam,2004, AFC Asian Cup qualification
Fan Chun Yip,246,33.3,0.0,0.0,Hong,2004, AFC Asian Cup qualification
Naseem Akhtar,180,0.0,0.0,0.0,India,2004, AFC Asian Cup qualification
Hendro Kartiko,270,0.0,0.0,0.0,Indonesia,2004, Asian Cup
Ebrahim Mirzapour,570,33.3,0.0,0.0,Iran,2004, Asian Cup
Ahmed Ali Jebur,359,0.0,0.0,0.0,Iraq,2004, Asian Cup
Gianluigi Buffon,270,33.3,0.0,0.0,Italy,2004, UEFA Euro
Yoshikatsu Kawaguchi,600,33.3,0.0,0.0,Japan,2004, Asian Cup
Amer Shafi,390,75.0,0.0,0.0,Jordan,2004, Asian Cup
Ri Myong-dok,540,0.0,0.0,0.0,Korea,2004, AFC Asian Cup qualification
Lee Woon-jae,360,75.0,0.0,0.0,Korea,2004, Asian Cup
Shehab Kankoune,270,0.0,0.0,0.0,Kuwait,2004, Asian Cup
Zakir Jalilov,180,50.0,0.0,0.0,Kyrgyzstan,2004, AFC Asian Cup qualification
Siththalay Khanyavong,90,0.0,0.0,0.0,Laos,2004, AFC Asian Cup qualification
Aleksandrs Kolinko,270,33.3,0.0,0.0,Latvia,2004, UEFA Euro
Ziad Al-Samad,540,16.7,0.0,0.0,Lebanon,2004, AFC Asian Cup qualification
Chu Hon Ming William,180,0.0,0.0,0.0,Macau,2004, AFC Asian Cup qualification
Mohd Syamsuri Mustafa,270,33.3,0.0,0.0,Malaysia,2004, AFC Asian Cup qualification
Mohamed Imran,180,0.0,0.0,0.0,Maldives,2004, AFC Asian Cup qualification
Aung Aung Oo,720,25.0,0.0,0.0,Myanmar,2004, AFC Asian Cup qualification
Upendra Man Singh,450,20.0,0.0,0.0,Nepal,2004, AFC Asian Cup qualification
Edwin van der Sar,480,40.0,0.0,0.0,Netherlands,2004, UEFA Euro
Ali Al-Habsi,270,33.3,0.0,0.0,Oman,2004, Asian Cup
Jaffar Khan,180,50.0,0.0,0.0,Pakistan,2004, AFC Asian Cup qualification
Leonardo Zamora,540,16.7,0.0,0.0,Palestine,2004, AFC Asian Cup qualification
Ricardo,570,33.3,0.0,0.0,Portugal,2004, UEFA Euro
Qasem Burhan,180,0.0,0.0,0.0,Qatar,2004, Asian Cup
Sergei Ovchinnikov,134,0.0,0.0,0.0,Russia,2004, UEFA Euro
Mansour Al-Naji,180,0.0,0.0,0.0,Saudi,2004, Asian Cup
Rezal Hassan,535,33.3,0.0,0.0,Singapore,2004, AFC Asian Cup qualification
Iker Casillas,270,33.3,0.0,0.0,Spain,2004, UEFA Euro
Sugath Dammika,450,0.0,0.0,0.0,Sri,2004, AFC Asian Cup qualification
Andreas Isaksson,390,50.0,0.0,0.0,Sweden,2004, UEFA Euro
Jorg Stiel,270,33.3,0.0,0.0,Switzerland,2004, UEFA Euro
Mohamad Bairouti,360,50.0,0.0,0.0,Syria,2004, AFC Asian Cup qualification
Aslidin Habibulloev,540,66.7,0.0,0.0,Tajikistan,2004, AFC Asian Cup qualification
Sinthaweechai Hathairattanakool,180,0.0,0.0,0.0,Thailand,2004, Asian Cup
Yewgeniy Naboycenko,180,0.0,0.0,0.0,Turkmenistan,2004, Asian Cup
Juma Rashed,180,0.0,0.0,0.0,United,2004, Asian Cup
Yevgeni Safonov,300,66.7,0.0,0.0,Uzbekistan,2004, Asian Cup
Nguyen The Anh,360,25.0,0.0,0.0,Vietnam,2004, AFC Asian Cup qualification
Salem Saeed,443,40.0,0.0,0.0,Yemen,2004, AFC Asian Cup qualification
German Lux,480,0.0,0.0,0.0,Argentina,2005, FIFA Confederations Cup
Mark Schwarzer,180,0.0,0.0,0.0,Australia,2005, FIFA Confederations Cup
Dida,360,25.0,0.0,0.0,Brazil,2005, FIFA Confederations Cup
Oliver Kahn,210,0.0,0.0,0.0,Germany,2005, FIFA Confederations Cup
Antonios Nikopolidis,270,33.3,0.0,0.0,Greece,2005, FIFA Confederations Cup
Yoshikatsu Kawaguchi,270,33.3,0.0,0.0,Japan,2005, FIFA Confederations Cup
Oswaldo Sanchez,510,40.0,0.0,0.0,Mexico,2005, FIFA Confederations Cup
Ali Boumnijel,90,0.0,0.0,0.0,Tunisia,2005, FIFA Confederations Cup
Jamshed,90,0.0,0.0,0.0,Afghanistan,2006, WCQ — AFC (M)
Ilion Lika,630,0.0,0.0,0.0,Albania,2006, WCQ — UEFA (M)
Koldo,990.0,27.3,0.0,0.0,Andorra,2006, WCQ — UEFA (M)
Joao Ricardo,270,33.3,0.0,0.0,Angola,2006, FIFA World Cup
Marvin Connor,180,50.0,0.0,0.0,Anguilla,2006, WCQ — CONCACAF (M)
Elvis Anthony,90,0.0,0.0,0.0,Antigua,2006, WCQ — CONCACAF (M)
Pato Abbondanzieri,461,40.0,0.0,0.0,Argentina,2006, FIFA World Cup
Roman Berezovsky,540,0.0,0.0,0.0,Armenia,2006, WCQ — UEFA (M)
Geoland Pantophlet,180,0.0,0.0,0.0,Aruba,2006, WCQ — CONCACAF (M)
Mark Schwarzer,270,0.0,0.0,0.0,Australia,2006, FIFA World Cup
Alex Manninger,360,25.0,0.0,0.0,Austria,2006, WCQ — UEFA (M)
Dmitry Kramarenko,630,14.3,0.0,0.0,Azerbaijan,2006, WCQ — UEFA (M)
Dwayne Whylly,106,0.0,0.0,0.0,Bahamas,2006, WCQ — CONCACAF (M)
Ali Hasan,720,25.0,0.0,0.0,Bahrain,2006, WCQ — AFC (M)
Aminul Hoque,180,0.0,0.0,0.0,Bangladesh,2006, WCQ — AFC (M)
Adrian Chase,180,0.0,0.0,0.0,Barbados,2006, WCQ — CONCACAF (M)
Vasil Khamutowski,450,40.0,0.0,0.0,Belarus,2006, WCQ — UEFA (M)
Silvio Proto,720,25.0,0.0,0.0,Belgium,2006, WCQ — UEFA (M)
Shane Orio,180,0.0,0.0,0.0,Belize,2006, WCQ — CONCACAF (M)
Timothy Figureido,180,0.0,0.0,0.0,Bermuda,2006, WCQ — CONCACAF (M)
Kenan Hasagic,540,33.3,0.0,0.0,Bosnia,2006, WCQ — UEFA (M)
Dida,442,60.0,0.0,0.0,Brazil,2006, FIFA World Cup
Desire Montgomery Butler,180,0.0,0.0,0.0,British,2006, WCQ — CONCACAF (M)
Dimitar Ivankov,810,11.1,0.0,0.0,Bulgaria,2006, WCQ — UEFA (M)
Pat Onstad,630,28.6,0.0,0.0,Canada,2006, WCQ — CONCACAF (M)
Clay Coleman,180,0.0,0.0,0.0,Cayman,2006, WCQ — CONCACAF (M)
Liu Yunfei,540,83.3,0.0,0.0,China,2006, WCQ — AFC (M)
Yang Cheng-hsing,450,20.0,0.0,0.0,Chinese,2006, WCQ — AFC (M)
Jose Porras,270,0.0,0.0,0.0,Costa,2006, FIFA World Cup
Stipe Pletikosa,270,33.3,0.0,0.0,Croatia,2006, FIFA World Cup
Odelin Molina,360,25.0,0.0,0.0,Cuba,2006, WCQ — CONCACAF (M)
Marcello Pisas,270,33.3,0.0,0.0,Curaçao,2006, WCQ — CONCACAF (M)
Nikos Panayiotou,,,,,Cyprus,2006, WCQ — UEFA (M)
