Player,Min,CS%,PKsv,PKm,Country,Year,Comp
Yandri Pitoy,180,0.0,0.0,0.0,Indonesia,2007, Asian Cup
Hassan Roudbarian,390.0,50.0,0.0,0.0,Iran,2007, Asian Cup
Noor Sabri,570,66.7,0.0,0.0,Iraq,2007, Asian Cup
Yoshikatsu Kawaguchi,600,16.7,0.0,0.0,Japan,2007, Asian Cup
Amer Shafi,360,75.0,0.0,0.0,Jordan,2007, AFC Asian Cup qualification
Lee Woon-jae,630,66.7,0.0,0.0,Korea,2007, Asian Cup
Nawaf Al-Khaldi,360,50.0,0.0,0.0,Kuwait,2007, AFC Asian Cup qualification
Azizon Abdul Kadir,270,0.0,0.0,0.0,Malaysia,2007, Asian Cup
Ali Al-Habsi,270,33.3,0.0,0.0,Oman,2007, Asian Cup
Jaffar Khan,450,0.0,0.0,0.0,Pakistan,2007, AFC Asian Cup qualification
Ramzi Saleh,450,20.0,0.0,0.0,Palestine,2007, AFC Asian Cup qualification
Mohamed Saqr,270,0.0,0.0,0.0,Qatar,2007, Asian Cup
Yasser Al Mosailem,540,16.7,0.0,0.0,Saudi,2007, Asian Cup
Lionel Lewis,450,40.0,0.0,0.0,Singapore,2007, AFC Asian Cup qualification
Mosab Balhous,360,25.0,0.0,0.0,Syria,2007, AFC Asian Cup qualification
Sinthaweechai Hathairattanakool,270,33.3,0.0,0.0,Thailand,2007, Asian Cup
Majed Naser,180,0.0,0.0,0.0,United,2007, Asian Cup
Ignatiy Nesterov,270,66.7,0.0,0.0,Uzbekistan,2007, Asian Cup
Duong Hong Son,360,25.0,0.0,0.0,Vietnam,2007, Asian Cup
Muaadh Abdulkhalek,270,33.3,0.0,0.0,Yemen,2007, AFC Asian Cup qualification
Arjan Beqaj,990,45.5,0.0,0.0,Albania,2008, Euro Qualifying
Koldo,945,0.0,0.0,0.0,Andorra,2008, Euro Qualifying
Gevorg Kasparov,630,28.6,0.0,0.0,Armenia,2008, Euro Qualifying
Jurgen Macho,270,0.0,0.0,0.0,Austria,2008, UEFA Euro
Farhad Valiyev,855,10.0,0.0,0.0,Azerbaijan,2008, Euro Qualifying
Yuri Zhevnov,519,0.0,0.0,0.0,Belarus,2008, Euro Qualifying
Stijn Stijnen,"1,170",38.5,0.0,0.0,Belgium,2008, Euro Qualifying
Adnan Guso,720,12.5,0.0,0.0,Bosnia,2008, Euro Qualifying
Dimitar Ivankov,810,66.7,0.0,0.0,Bulgaria,2008, Euro Qualifying
Stipe Pletikosa,300,33.3,0.0,0.0,Croatia,2008, UEFA Euro
Antonis Georgallides,767,25.0,0.0,0.0,Cyprus,2008, Euro Qualifying
Petr Cech,270,33.3,0.0,0.0,Czech,2008, UEFA Euro
Thomas Srensen,788,66.7,0.0,0.0,Denmark,2008, Euro Qualifying
Paul Robinson,900,90.0,0.0,0.0,England,2008, Euro Qualifying
Mart Poom,810,0.0,0.0,0.0,Estonia,2008, Euro Qualifying
Jakup Mikkelsen,"1,080",0.0,0.0,0.0,Faroe,2008, Euro Qualifying
Jussi Jaaskelainen,"1,260",57.1,0.0,0.0,Finland,2008, Euro Qualifying
Gregory Coupet,270,33.3,0.0,0.0,France,2008, UEFA Euro
Giorgi Lomaia,630,0.0,0.0,0.0,Georgia,2008, Euro Qualifying
Jens Lehmann,540,33.3,0.0,0.0,Germany,2008, UEFA Euro
Antonios Nikopolidis,270,0.0,0.0,0.0,Greece,2008, UEFA Euro
Marton Fulop,431,40.0,0.0,0.0,Hungary,2008, Euro Qualifying
Arni Gautur Arason,"1,080",8.3,0.0,0.0,Iceland,2008, Euro Qualifying
Dudu Aouate,990,45.5,0.0,0.0,Israel,2008, Euro Qualifying
Gianluigi Buffon,390,50.0,0.0,1.0,Italy,2008, UEFA Euro
David Loria,"1,260",14.3,0.0,0.0,Kazakhstan,2008, Euro Qualifying
Aleksandrs Kolinko,630,14.3,0.0,0.0,Latvia,2008, Euro Qualifying
Peter Jehle,"1,080",16.7,0.0,0.0,Liechtenstein,2008, Euro Qualifying
Zydrunas Karcemarskas,900,40.0,0.0,0.0,Lithuania,2008, Euro Qualifying
Jonathan Joubert,882,10.0,0.0,0.0,Luxembourg,2008, Euro Qualifying
Justin Haber,900,0.0,0.0,0.0,Malta,2008, Euro Qualifying
Serghei Pascenco,540,0.0,0.0,0.0,Moldova,2008, Euro Qualifying
Edwin van der Sar,300,33.3,0.0,0.0,Netherlands,2008, UEFA Euro
Jane Nikolovski,630,42.9,0.0,0.0,North,2008, Euro Qualifying
Maik Taylor,"1,068",18.2,0.0,0.0,Northern,2008, Euro Qualifying
Hakon Opdal,630,57.1,0.0,0.0,Norway,2008, Euro Qualifying
Artur Boruc,270,0.0,0.0,0.0,Poland,2008, UEFA Euro
Ricardo,360,25.0,0.0,0.0,Portugal,2008, UEFA Euro
Shay Given,810,44.4,0.0,0.0,Republic,2008, Euro Qualifying
Bogdan Lobont,270,33.3,0.0,0.0,Romania,2008, UEFA Euro
Igor Akinfeev,480,40.0,0.0,0.0,Russia,2008, UEFA Euro
Aldo Junior Simoncini,630,0.0,0.0,0.0,San,2008, Euro Qualifying
Craig Gordon,"1,080",33.3,0.0,0.0,Scotland,2008, Euro Qualifying
Vladimir Stojkovic,"1,080",50.0,0.0,0.0,Serbia,2008, Euro Qualifying
Kamil Contofalsky,810,11.1,0.0,0.0,Slovakia,2008, Euro Qualifying
Samir Handanovic,810,44.4,0.0,0.0,Slovenia,2008, Euro Qualifying
Iker Casillas,480,60.0,0.0,0.0,Spain,2008, UEFA Euro
Andreas Isaksson,270,33.3,0.0,0.0,Sweden,2008, UEFA Euro
Diego Benaglio,180,0.0,0.0,0.0,Switzerland,2008, UEFA Euro
Volkan Demirel,269,0.0,0.0,0.0,Turkey,2008, UEFA Euro
Oleksandr Shovkovskiy,854,30.0,0.0,0.0,Ukraine,2008, Euro Qualifying
Wayne Hennessey,450,40.0,0.0,0.0,Wales,2008, Euro Qualifying
Julio Cesar,450,60.0,0.0,0.0,Brazil,2009, FIFA Confederations Cup
Essam El-Hadary,270,33.3,0.0,0.0,Egypt,2009, FIFA Confederations Cup
Mohammed Gassid,270,66.7,0.0,0.0,Iraq,2009, FIFA Confederations Cup
Gianluigi Buffon,270,0.0,0.0,0.0,Italy,2009, FIFA Confederations Cup
Glen Moss,270,33.3,0.0,0.0,New,2009, FIFA Confederations Cup
Itumeleng Khune,480,40.0,0.0,0.0,South,2009, FIFA Confederations Cup
Iker Casillas,390,50.0,0.0,0.0,Spain,2009, FIFA Confederations Cup
Tim Howard,360,25.0,0.0,0.0,United,2009, FIFA Confederations Cup
Shamsuddin Amiri,180,0.0,0.0,0.0,Afghanistan,2010, WCQ — AFC (M)
Arjan Beqaj,360,75.0,0.0,0.0,Albania,2010, WCQ — UEFA (M)
Rais M'Bolhi,180,50.0,0.0,0.0,Algeria,2010, FIFA World Cup
Koldo,539,0.0,0.0,0.0,Andorra,2010, WCQ — UEFA (M)
Carlos Fernandes,360,50.0,0.0,0.0,Angola,2010, Africa Cup of Nations
Godwin Davy,180,0.0,0.0,0.0,Anguilla,2010, WCQ — CONCACAF (M)
Molvin James,180,0.0,0.0,0.0,Antigua,2010, WCQ — CONCACAF (M)
Sergio Romero,450,40.0,0.0,0.0,Argentina,2010, FIFA World Cup
Roman Berezovsky,630,0.0,0.0,0.0,Armenia,2010, WCQ — UEFA (M)
Antonio Giel,90,0.0,0.0,0.0,Aruba,2010, WCQ — CONCACAF (M)
Mark Schwarzer,270,0.0,0.0,0.0,Australia,2010, FIFA World Cup
Alex Manninger,360,0.0,0.0,0.0,Austria,2010, WCQ — UEFA (M)
Kamran Aghayev,630,28.6,0.0,0.0,Azerbaijan,2010, WCQ — UEFA (M)
Dwayne Whylly,360,0.0,0.0,0.0,Bahamas,2010, WCQ — CONCACAF (M)
Sayed Mohammed Jaffer,"1,620",38.9,0.0,0.0,Bahrain,2010, WCQ — AFC (M)
Biplob Bhattacharjee,180,0.0,0.0,0.0,Bangladesh,2010, WCQ — AFC (M)
Alvin Rouse,360,25.0,0.0,0.0,Barbados,2010, WCQ — CONCACAF (M)
Yuri Zhevnov,810,22.2,0.0,0.0,Belarus,2010, WCQ — UEFA (M)
Stijn Stijnen,540,16.7,0.0,0.0,Belgium,2010, WCQ — UEFA (M)
Shane Orio,360,0.0,0.0,0.0,Belize,2010, WCQ — CONCACAF (M)
Yoann Djidonou,197,0.0,0.0,0.0,Benin,2010, Africa Cup of Nations
Timothy Figureido,360,0.0,0.0,0.0,Bermuda,2010, WCQ — CONCACAF (M)
Kenan Hasagic,524,33.3,0.0,0.0,Bosnia,2010, WCQ — UEFA (M)
Julio Cesar,450,40.0,0.0,0.0,Brazil,2010, FIFA World Cup
Desire Montgomery Butler,180,0.0,0.0,0.0,British,2010, WCQ — CONCACAF (M)
Dimitar Ivankov,698,25.0,0.0,0.0,Bulgaria,2010, WCQ — UEFA (M)
Daouda Diakite,180,50.0,0.0,0.0,Burkina,2010, Africa Cup of Nations
Oum Chandara,180,0.0,0.0,0.0,Cambodia,2010, WCQ — AFC (M)
Souleymanou Hamidou,270,0.0,0.0,0.0,Cameroon,2010, FIFA World Cup
Lars Hirschfeld,450,0.0,0.0,0.0,Canada,2010, WCQ — CONCACAF (M)
Tuda Murphy,180,0.0,0.0,0.0,Cayman,2010, WCQ — CONCACAF (M)
Claudio Bravo,360,50.0,0.0,0.0,Chile,2010, FIFA World Cup
Song Zhenyu,360,50.0,0.0,0.0,China,2010, WCQ — AFC (M)
Lu Kun-chi,180.0,0.0,0.0,0.0,Chinese,2010, WCQ — AFC (M)
Ricardo Gonzalez,877,44.4,0.0,0.0,Costa,2010, WCQ — CONCACAF (M)
Stipe Pletikosa,450,80.0,0.0,0.0,Croatia,2010, WCQ — UEFA (M)
Dany Luis Quintero,360,25.0,0.0,0.0,Cuba,2010, WCQ — CONCACAF (M)
Wencho Farrell,360,75.0,0.0,0.0,Curaçao,2010, WCQ — CONCACAF (M)
Antonis Georgallides,484,0.0,0.0,0.0,Cyprus,2010, WCQ — UEFA (M)
Petr Cech,720,62.5,0.0,0.0,Czech,2010, WCQ — UEFA (M)
Boubacar Barry,270,66.7,0.0,0.0,Côte,2010, FIFA World Cup
Thomas Srensen,270,0.0,0.0,0.0,Denmark,2010, FIFA World Cup
Miguel Lloyd,120,0.0,0.0,0.0,Dominican,2010, WCQ — CONCACAF (M)
Glenson Prince,180,0.0,0.0,0.0,Dominica,2010, WCQ — CONCACAF (M)
Essam El-Hadary,556,66.7,0.0,0.0,Egypt,2010, Africa Cup of Nations
Miguel Montes,"1,244",28.6,0.0,0.0,El,2010, WCQ — CONCACAF (M)
David James,270,66.7,0.0,0.0,England,2010, FIFA World Cup
Sergei Pareiko,540,33.3,0.0,0.0,Estonia,2010, WCQ — UEFA (M)
Jakup Mikkelsen,900,0.0,0.0,0.0,Faroe,2010, WCQ — UEFA (M)
Jussi Jaaskelainen,900,20.0,0.0,0.0,Finland,2010, WCQ — UEFA (M)
Hugo Lloris,270,33.3,0.0,0.0,France,2010, FIFA World Cup
Didier Ovono,270,66.7,0.0,0.0,Gabon,2010, Africa Cup of Nations
Giorgi Lomaia,569,28.6,0.0,0.0,Georgia,2010, WCQ — UEFA (M)
Manuel Neuer,540,50.0,0.0,0.0,Germany,2010, FIFA World Cup
Richard Kingson,510,20.0,0.0,0.0,Ghana,2010, FIFA World Cup
Alexandros Tzorvas,270,0.0,0.0,0.0,Greece,2010, FIFA World Cup
Andre Charles,180,0.0,0.0,0.0,Grenada,2010, WCQ — CONCACAF (M)
Ricardo Trigueno,516,33.3,0.0,0.0,Guatemala,2010, WCQ — CONCACAF (M)
Richard Reynolds,180,0.0,0.0,0.0,Guyana,2010, WCQ — CONCACAF (M)
Gabard Fenelon,450,40.0,0.0,0.0,Haiti,2010, WCQ — CONCACAF (M)
Noel Valladares,270,33.3,0.0,0.0,Honduras,2010, FIFA World Cup
Fan Chun Yip,270,33.3,0.0,0.0,Hong,2010, WCQ — AFC (M)
Gabor Babos,630,42.9,0.0,0.0,Hungary,2010, WCQ — UEFA (M)
Gunnleifur Gunnleifsson,540,16.7,0.0,0.0,Iceland,2010, WCQ — UEFA (M)
Subrata Pal,161,0.0,0.0,0.0,India,2010, WCQ — AFC (M)
Dian Agus Prasetyo,90,0.0,0.0,0.0,Indonesia,2010, WCQ — AFC (M)
Mehdi Rahmati,"1,170",46.2,0.0,0.0,Iran,2010, WCQ — AFC (M)
Noor Sabri,720,37.5,0.0,0.0,Iraq,2010, WCQ — AFC (M)
Dudu Aouate,765,11.1,0.0,0.0,Israel,2010, WCQ — UEFA (M)
Federico Marchetti,225,0.0,0.0,0.0,Italy,2010, FIFA World Cup
Donovan Ricketts,720,62.5,0.0,0.0,Jamaica,2010, WCQ — CONCACAF (M)
Eiji Kawashima,390,50.0,0.0,0.0,Japan,2010, FIFA World Cup
Lo'ai El Amairaeh,660,42.9,0.0,0.0,Jordan,2010, WCQ — AFC (M)
Aleksandr Mokin,540,0.0,0.0,0.0,Kazakhstan,2010, WCQ — UEFA (M)
Ri Myong-guk,270,0.0,0.0,0.0,Korea,2010, FIFA World Cup
Jung Sung-ryong,360,25.0,0.0,0.0,Korea,2010, FIFA World Cup
Nawaf Al-Khaldi,251,0.0,0.0,0.0,Kuwait,2010, WCQ — AFC (M)
Maksim Agapov,210,50.0,0.0,0.0,Kyrgyzstan,2010, WCQ — AFC (M)
Andris Vanins,900,30.0,0.0,0.0,Latvia,2010, WCQ — UEFA (M)
Larry Mehanna,540,0.0,0.0,0.0,Lebanon,2010, WCQ — AFC (M)
Peter Jehle,900,10.0,0.0,0.0,Liechtenstein,2010, WCQ — UEFA (M)
Zydrunas Karcemarskas,900,30.0,0.0,0.0,Lithuania,2010, WCQ — UEFA (M)
Jonathan Joubert,810,22.2,0.0,0.0,Luxembourg,2010, WCQ — UEFA (M)
Leong Chon Kit,180,0.0,0.0,0.0,Macau,2010, WCQ — AFC (M)
Swadic Sanudi,270,33.3,0.0,0.0,Malawi,2010, Africa Cup of Nations
Syed Adney,180,50.0,0.0,0.0,Malaysia,2010, WCQ — AFC (M)
Hassan Rameez,180,50.0,0.0,0.0,Maldives,2010, WCQ — AFC (M)
Mahamadou Sidibe,180,0.0,0.0,0.0,Mali,2010, Africa Cup of Nations
Justin Haber,630,14.3,0.0,0.0,Malta,2010, WCQ — UEFA (M)
Oscar Perez Rojas,360,25.0,0.0,0.0,Mexico,2010, FIFA World Cup
Stanislav Namasco,630,14.3,0.0,0.0,Moldova,2010, WCQ — UEFA (M)
Sharav Nasanjargal,90,0.0,0.0,0.0,Mongolia,2010, WCQ — AFC (M)
Vukasin Poleksic,810.0,33.3,0.0,0.0,Montenegro,2010, WCQ — UEFA (M)
Jermaine Sweeney,90,0.0,0.0,0.0,Montserrat,2010, WCQ — CONCACAF (M)
Joao Rafael Kapango,270,0.0,0.0,0.0,Mozambique,2010, Africa Cup of Nations
Aung Aung Oo,90,0.0,0.0,0.0,Myanmar,2010, WCQ — AFC (M)
Ritesh Thapa,180,0.0,0.0,0.0,Nepal,2010, WCQ — AFC (M)
Maarten Stekelenburg,660,28.6,0.0,0.0,Netherlands,2010, FIFA World Cup
Mark Paston,270,33.3,0.0,0.0,New,2010, FIFA World Cup
Denis Espinoza,180,0.0,0.0,0.0,Nicaragua,2010, WCQ — CONCACAF (M)
Vincent Enyeama,270,0.0,0.0,0.0,Nigeria,2010, FIFA World Cup
Petar Milosevski,270,33.3,0.0,0.0,North,2010, WCQ — UEFA (M)
Maik Taylor,900,50.0,0.0,0.0,Northern,2010, WCQ — UEFA (M)
Jon Knudsen,630,42.9,0.0,0.0,Norway,2010, WCQ — UEFA (M)
Ali Al-Habsi,720,37.5,0.0,0.0,Oman,2010, WCQ — AFC (M)
Iltaf Ahmed,90,100.0,0.0,0.0,Pakistan,2010, WCQ — AFC (M)
Ramzi Saleh,90,0.0,0.0,0.0,Palestine,2010, WCQ — AFC (M)
Jaime Penedo,180,50.0,0.0,0.0,Panama,2010, WCQ — CONCACAF (M)
Justo Villar,480,60.0,0.0,0.0,Paraguay,2010, FIFA World Cup
Artur Boruc,450,0.0,0.0,0.0,Poland,2010, WCQ — UEFA (M)
Eduardo Carvalho,360,75.0,0.0,0.0,Portugal,2010, FIFA World Cup
Terry Boss,300,33.3,0.0,0.0,Puerto,2010, WCQ — CONCACAF (M)
Mohamed Saqr,990,45.5,0.0,0.0,Qatar,2010, WCQ — AFC (M)
Shay Given,"1,110",25.0,0.0,0.0,Republic,2010, WCQ — UEFA (M)
Bogdan Lobont,450,20.0,0.0,0.0,Romania,2010, WCQ — UEFA (M)
Igor Akinfeev,"1,080",41.7,0.0,0.0,Russia,2010, WCQ — UEFA (M)
Kayian Benjamin,180,0.0,0.0,0.0,Saint,2010, WCQ — CONCACAF (M)
Danny Mitchell,241,33.3,0.0,0.0,Saint,2010, WCQ — CONCACAF (M)
Winslow McDowall,135,0.0,0.0,0.0,Saint,2010, WCQ — CONCACAF (M)
Aldo Junior Simoncini,613,0.0,0.0,0.0,San,2010, WCQ — UEFA (M)
Waleed Abdullah,"1,080",33.3,0.0,0.0,Saudi,2010, WCQ — AFC (M)
Craig Gordon,450,40.0,0.0,0.0,Scotland,2010, WCQ — UEFA (M)
Vladimir Stojkovic,270,33.3,0.0,0.0,Serbia,2010, FIFA World Cup
Lionel Lewis,630,42.9,0.0,0.0,Singapore,2010, WCQ — AFC (M)
Jan Mucha,360,0.0,0.0,0.0,Slovakia,2010, FIFA World Cup
Samir Handanovic,270,33.3,0.0,0.0,Slovenia,2010, FIFA World Cup
Itumeleng Khune,90,0.0,0.0,0.0,South,2010, FIFA World Cup
Iker Casillas,660,71.4,0.0,0.0,Spain,2010, FIFA World Cup
Sugath Dammika,90,0.0,0.0,0.0,Sri,2010, WCQ — AFC (M)
Ronny Aloema,720,12.5,0.0,1.0,Suriname,2010, WCQ — CONCACAF (M)
Andreas Isaksson,900,50.0,0.0,0.0,Sweden,2010, WCQ — UEFA (M)
Diego Benaglio,270,66.7,0.0,0.0,Switzerland,2010, FIFA World Cup
Mosab Balhous,900,40.0,0.0,0.0,Syria,2010, WCQ — AFC (M)
Alexandr Mukanin,242,33.3,0.0,0.0,Tajikistan,2010, WCQ — AFC (M)
Sinthaweechai Hathairattanakool,630,14.3,0.0,0.0,Thailand,2010, WCQ — AFC (M)
Diamantino Leong,180,0.0,0.0,0.0,Timor-Leste,2010, WCQ — AFC (M)
Clayton Ince,990,27.3,0.0,0.0,Trinidad,2010, WCQ — CONCACAF (M)
Aymen Mathlouthi,270,33.3,0.0,0.0,Tunisia,2010, Africa Cup of Nations
Volkan Demirel,900.0,30.0,0.0,0.0,Turkey,2010, WCQ — UEFA (M)
Bayramnyyaz Berdiyew,741,37.5,0.0,0.0,Turkmenistan,2010, WCQ — AFC (M)
Ian Jones,180,0.0,0.0,0.0,Turks,2010, WCQ — CONCACAF (M)
Andriy Pyatov,990,63.6,0.0,0.0,Ukraine,2010, WCQ — UEFA (M)
Majed Naser,"1,260",21.4,0.0,0.0,United,2010, WCQ — AFC (M)
Terrence Jones,90,0.0,0.0,0.0,United,2010, WCQ — CONCACAF (M)
Tim Howard,390,25.0,0.0,0.0,United,2010, FIFA World Cup
Fernando Muslera,660,42.9,0.0,1.0,Uruguay,2010, FIFA World Cup
Ignatiy Nesterov,"1,350",40.0,0.0,0.0,Uzbekistan,2010, WCQ — AFC (M)
Duong Hong Son,180,0.0,0.0,0.0,Vietnam,2010, WCQ — AFC (M)
Wayne Hennessey,810,33.3,0.0,0.0,Wales,2010, WCQ — UEFA (M)
Salem Saeed,360,25.0,0.0,0.0,Yemen,2010, WCQ — AFC (M)
Kennedy Mweene,390,25.0,0.0,0.0,Zambia,2010, Africa Cup of Nations
Mark Schwarzer,600,66.7,0.0,0.0,Australia,2011, Asian Cup
Mahmood Mansoor,270,0.0,0.0,0.0,Bahrain,2011, Asian Cup
Yang Zhi,180,50.0,0.0,0.0,China,2011, Asian Cup
Zhang Chunhui,360,0.0,0.0,0.0,Hong,2011, AFC Asian Cup qualification
Subrata Pal,270,0.0,0.0,0.0,India,2011, Asian Cup
Muhammad Haris Maulana,540,33.3,0.0,0.0,Indonesia,2011, AFC Asian Cup qualification
Mehdi Rahmati,300,33.3,0.0,0.0,Iran,2011, Asian Cup
Mohammed Gassid,390,50.0,0.0,0.0,Iraq,2011, Asian Cup
Eiji Kawashima,491,20.0,0.0,0.0,Japan,2011, Asian Cup
Amer Shafi,360,25.0,0.0,0.0,Jordan,2011, Asian Cup
Ri Myong-guk,270,33.3,0.0,0.0,Korea,2011, Asian Cup
Jung Sung-ryong,600,16.7,0.0,0.0,Korea,2011, Asian Cup
Nawaf Al-Khaldi,270,0.0,0.0,0.0,Kuwait,2011, Asian Cup
Larry Mehanna,630,14.3,0.0,0.0,Lebanon,2011, AFC Asian Cup qualification
Mohd Farizal Marlias,260,0.0,0.0,0.0,Malaysia,2011, AFC Asian Cup qualification
Mohamed Imran,180,0.0,0.0,0.0,Maldives,2011, AFC Asian Cup qualification
Ali Al-Habsi,360,25.0,0.0,0.0,Oman,2011, AFC Asian Cup qualification
Qasem Burhan,360,50.0,0.0,0.0,Qatar,2011, Asian Cup
Waleed Abdullah,270,0.0,0.0,0.0,Saudi,2011, Asian Cup
Hassan Sunny,360,25.0,0.0,0.0,Singapore,2011, AFC Asian Cup qualification
Mosab Balhous,270,0.0,0.0,0.0,Syria,2011, Asian Cup
Sinthaweechai Hathairattanakool,360,75.0,0.0,0.0,Thailand,2011, AFC Asian Cup qualification
Majed Naser,270,33.3,0.0,0.0,United,2011, Asian Cup
Ignatiy Nesterov,422,20.0,0.0,0.0,Uzbekistan,2011, Asian Cup
Duong Hong Son,180,0.0,0.0,0.0,Vietnam,2011, AFC Asian Cup qualification
Salem Saeed,450,60.0,0.0,0.0,Yemen,2011, AFC Asian Cup qualification
Samir Ujkani,540,16.7,0.0,0.0,Albania,2012, Euro Qualifying
Josep Gomes,900,0.0,0.0,0.0,Andorra,2012, Euro Qualifying
Carlos Fernandes,180,0.0,0.0,0.0,Angola,2012, Africa Cup of Nations
Roman Berezovsky,835,40.0,0.0,0.0,Armenia,2012, Euro Qualifying
Jurgen Macho,450,40.0,0.0,0.0,Austria,2012, Euro Qualifying
Kamran Aghayev,900,10.0,0.0,0.0,Azerbaijan,2012, Euro Qualifying
Yuri Zhevnov,720,62.5,0.0,0.0,Belarus,2012, Euro Qualifying
Simon Mignolet,540,16.7,0.0,0.0,Belgium,2012, Euro Qualifying
Kenan Hasagic,630,37.5,0.0,0.0,Bosnia,2012, Euro Qualifying
Modiri Marumo,270,0.0,0.0,0.0,Botswana,2012, Africa Cup of Nations
Nikolay Mihaylov,720,25.0,0.0,0.0,Bulgaria,2012, Euro Qualifying
Daouda Diakite,270,0.0,0.0,0.0,Burkina,2012, Africa Cup of Nations
Stipe Pletikosa,270,0.0,0.0,0.0,Croatia,2012, UEFA Euro
Antonis Georgallides,630,14.3,0.0,0.0,Cyprus,2012, Euro Qualifying
Petr Cech,360,25.0,0.0,0.0,Czech,2012, UEFA Euro
Boubacar Barry,480,100.0,0.0,0.0,Côte,2012, Africa Cup of Nations
Stephan Andersen,270,33.3,0.0,0.0,Denmark,2012, UEFA Euro
Joe Hart,390,50.0,0.0,0.0,England,2012, UEFA Euro
Danilo Clementino,360,25.0,1.0,0.0,Equatorial,2012, Africa Cup of Nations
Sergei Pareiko,990,0.0,0.0,0.0,Estonia,2012, Euro Qualifying
Jakup Mikkelsen,450,20.0,0.0,0.0,Faroe,2012, Euro Qualifying
Otto Fredrikson,360,50.0,0.0,0.0,Finland,2012, Euro Qualifying
Hugo Lloris,360,25.0,0.0,0.0,France,2012, UEFA Euro
Didier Ovono,390,50.0,0.0,0.0,Gabon,2012, Africa Cup of Nations
Nukri Revishvili,720,37.5,0.0,0.0,Georgia,2012, Euro Qualifying
Manuel Neuer,450,20.0,0.0,0.0,Germany,2012, UEFA Euro
Adam Larsen Kwarasey,570,33.3,0.0,0.0,Ghana,2012, Africa Cup of Nations
Michalis Sifakis,247,50.0,0.0,0.0,Greece,2012, UEFA Euro
Naby Yattara,270,0.0,0.0,0.0,Guinea,2012, Africa Cup of Nations
Gabor Kiraly,810,44.4,0.0,0.0,Hungary,2012, Euro Qualifying
Stefan Logi Magnusson,360,25.0,0.0,0.0,Iceland,2012, Euro Qualifying
Dudu Aouate,855,30.0,0.0,0.0,Israel,2012, Euro Qualifying
Gianluigi Buffon,570,33.3,0.0,0.0,Italy,2012, UEFA Euro
Andrei Gennadyevich Sidelnikov,450,20.0,0.0,0.0,Kazakhstan,2012, Euro Qualifying
Andris Vanins,900,30.0,0.0,0.0,Latvia,2012, Euro Qualifying
Samir Aboud,270,0.0,0.0,0.0,Libya,2012, Africa Cup of Nations
Peter Jehle,630,14.3,0.0,0.0,Liechtenstein,2012, Euro Qualifying
Zydrunas Karcemarskas,630,42.9,0.0,0.0,Lithuania,2012, Euro Qualifying
Jonathan Joubert,900,10.0,0.0,0.0,Luxembourg,2012, Euro Qualifying
Soumbeila Diakite,390,25.0,0.0,0.0,Mali,2012, Africa Cup of Nations
Andrew Hogg,720,0.0,0.0,0.0,Malta,2012, Euro Qualifying
Stanislav Namasco,630,28.6,0.0,0.0,Moldova,2012, Euro Qualifying
Mladen Bozovic,900,40.0,0.0,0.0,Montenegro,2012, Euro Qualifying
Nadir Lamyaghri,180,0.0,0.0,0.0,Morocco,2012, Africa Cup of Nations
Maarten Stekelenburg,270,0.0,0.0,0.0,Netherlands,2012, UEFA Euro
Kassaly Daouda,270,0.0,0.0,0.0,Niger,2012, Africa Cup of Nations
Martin Bogatinov,450,20.0,0.0,0.0,North,2012, Euro Qualifying
Lee Camp,540,33.3,0.0,0.0,Northern,2012, Euro Qualifying
Rune Jarstein,450,20.0,0.0,0.0,Norway,2012, Euro Qualifying
Przemysaw Tyton,200,0.0,0.0,1.0,Poland,2012, UEFA Euro
Rui Patricio,480,40.0,0.0,0.0,Portugal,2012, UEFA Euro
Shay Given,270,0.0,0.0,0.0,Republic,2012, UEFA Euro
Costel Pantilimon,360,25.0,0.0,0.0,Romania,2012, Euro Qualifying
Vyacheslav Malafeev,270,0.0,0.0,0.0,Russia,2012, UEFA Euro
Aldo Junior Simoncini,810,0.0,0.0,0.0,San,2012, Euro Qualifying
Allan McGregor,720,37.5,0.0,0.0,Scotland,2012, Euro Qualifying
Bouna Coundoul,180,0.0,0.0,0.0,Senegal,2012, Africa Cup of Nations
Bojan Jorgacevic,360,25.0,0.0,0.0,Serbia,2012, Euro Qualifying
Jan Mucha,810,44.4,0.0,0.0,Slovakia,2012, Euro Qualifying
Samir Handanovic,810,44.4,0.0,0.0,Slovenia,2012, Euro Qualifying
Iker Casillas,570,83.3,0.0,0.0,Spain,2012, UEFA Euro
Akram El Hadi Salim,270,0.0,1.0,0.0,Sudan,2012, Africa Cup of Nations
Andreas Isaksson,270,33.3,0.0,0.0,Sweden,2012, UEFA Euro
Diego Benaglio,458,16.7,0.0,0.0,Switzerland,2012, Euro Qualifying
Aymen Mathlouthi,300,0.0,0.0,0.0,Tunisia,2012, Africa Cup of Nations
Volkan Demirel,720,25.0,0.0,0.0,Turkey,2012, Euro Qualifying
Andriy Pyatov,270,0.0,0.0,0.0,Ukraine,2012, UEFA Euro
Wayne Hennessey,720,25.0,0.0,0.0,Wales,2012, Euro Qualifying
Kennedy Mweene,570,66.7,1.0,1.0,Zambia,2012, Africa Cup of Nations
Rais M'Bolhi,270,0.0,0.0,0.0,Algeria,2013, Africa Cup of Nations
Lama,270,33.3,0.0,0.0,Angola,2013, Africa Cup of Nations
Julio Cesar,450,60.0,1.0,1.0,Brazil,2013, FIFA Confederations Cup
