,NomDesClubs,lienClubDetails,SexeDuClub,divisionDuClub,linkDivisionDetail,DebutSaisonSave,DerniereSaisonSave,NombreDeCompetitionJoue,nombreDePremierePlace
0,AFC Compiègne,https://fbref.com/fr/equipes/e20fb8d5/historique/Stats-et-historique-de-AFC-Compiegne,H, -- no info -- ,pas de détails ,2016-2017,2018-2019,0,0
0,AFC Creil,https://fbref.com/fr/equipes/6deb77ba/historique/Stats-et-historique-de-AFC-Creil,H, -- no info -- ,pas de détails ,2015-2016,2015-2016,0,0
0,AG Caennaise,https://fbref.com/fr/equipes/9dcf2f81/historique/Stats-et-historique-de-AG-Caennaise,H, -- no info -- ,pas de détails ,2018-2019,2020-2021,0,0
0,AGL Drapeau Fougeres,https://fbref.com/fr/equipes/d5501d62/historique/Stats-et-historique-de-AGL-Drapeau-Fougeres,H, -- no info -- ,pas de détails ,2014-2015,2015-2016,0,0
0,Aiglon du Lamentin,https://fbref.com/fr/equipes/22c09819/historique/Stats-et-historique-de-Aiglon-du-Lamentin,H, -- no info -- ,pas de détails ,2014-2015,2018-2019,0,0
0,Ailly sur Somme FC,https://fbref.com/fr/equipes/8bd1d0ff/historique/Stats-et-historique-de-Ailly-sur-Somme-FC,H, -- no info -- ,pas de détails ,2014-2015,2015-2016,0,0
0,Ain Sud Foot,https://fbref.com/fr/equipes/f83ef755/historique/Stats-et-historique-de-Ain-Sud-Foot,H, -- no info -- ,pas de détails ,2014-2015,2014-2015,0,0
0,AJ Auxerre,https://fbref.com/fr/equipes/5ae09109/historique/Stats-et-historique-de-Auxerre,H,Ligue 2,https://fbref.com/fr/comps/60/Statistiques-Ligue-2,1991-1992,2021-2022,27,1
0,AJ Petite-Île,https://fbref.com/fr/equipes/3f5bc7c0/historique/Stats-et-historique-de-AJ-Petite-Ile,H, -- no info -- ,pas de détails ,2017-2018,2017-2018,0,0
0,AJ Saint-Georges,https://fbref.com/fr/equipes/6a5ea615/historique/Stats-et-historique-de-AJ-Saint-Georges,H, -- no info -- ,pas de détails ,2019-2020,2019-2020,0,0
0,Amiens AC,https://fbref.com/fr/equipes/6917ef41/historique/Stats-et-historique-de-Amiens-AC,H, -- no info -- ,pas de détails ,2014-2015,2020-2021,0,0
0,Amiens SC,https://fbref.com/fr/equipes/25622401/historique/Stats-et-historique-de-Amiens,H,Ligue 2,https://fbref.com/fr/comps/60/Statistiques-Ligue-2,2011-2012,2021-2022,7,0
0,Ancienne de Château-Gontier,https://fbref.com/fr/equipes/014e7411/historique/Stats-et-historique-de-Ancienne-de-Chateau-Gontier,H, -- no info -- ,pas de détails ,2017-2018,2019-2020,0,0
0,Angers SCO,https://fbref.com/fr/equipes/69236f98/historique/Stats-et-historique-de-Angers,H,Ligue 1,https://fbref.com/fr/comps/13/Statistiques-Ligue-1,2009-2010,2021-2022,13,0
