Joueur,nationalite,equipe,age,poste,date_naissance,temps_de_jeu,matchs_joues,matchs_debutes,but_marques,but_marques_90,action_menant_but,action_menant_but_90,tirs_cardres_90,tirs_cardres_pourcent,tirs_total,passes_completees,passes_completees_pourcent,interceptions,tirs_blockes,tirs_menant_but_blockes,pressions_recupant_ball_pourcent,pressions,tackles,tackles_reussi,tackle_reussi_pct
Dickson-Abiama,ng NGA,Greuther Fürth,23-012,FW,1998,324.0,9.0,2.0,0.0,0.0,2.0,0.56,0.56,18.2,11.0,37.0,64.9,3.0,2.0,0.0,25.6,82.0,12.0,6.0,46.15384615384615
Ragnar-Ache,de GER,Eint Frankfurt,23-110,"FW,MF",1998,55.0,5.0,0.0,0.0,0.0,1.0,1.64,1.64,16.7,6.0,8.0,50.0,0.0,0.0,0.0,36.8,19.0,0.0,0.0,0.0
Tyler-Adams,us USA,RB Leipzig,22-274,"MF,DF",1999,451.0,7.0,5.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,234.0,82.1,11.0,1.0,0.0,29.4,109.0,8.0,5.0,55.55555555555556
Sargis-Adamyan,am ARM,Hoffenheim,28-176,"FW,MF",1993,276.0,7.0,2.0,1.0,0.33,1.0,0.33,0.65,100.0,2.0,54.0,70.1,4.0,0.0,0.0,32.8,61.0,14.0,9.0,60.0
Amine-Adli,fr FRA,Leverkusen,21-189,"FW,MF",2000,394.0,9.0,3.0,0.0,0.0,2.0,0.46,0.69,42.9,7.0,113.0,75.3,8.0,2.0,0.0,38.4,73.0,12.0,8.0,61.53846153846154
Manuel-Akanji,ch SUI,Dortmund,26-119,DF,1995,990.0,11.0,11.0,0.0,0.0,0.0,0.0,0.09,12.5,8.0,790.0,91.2,17.0,9.0,0.0,52.0,100.0,23.0,19.0,79.16666666666666
Kevin-Akpoguma,ng NGA,Hoffenheim,26-210,DF,1995,582.0,9.0,7.0,1.0,0.15,2.0,0.31,0.15,20.0,5.0,278.0,77.9,13.0,0.0,0.0,31.4,102.0,12.0,5.0,38.46153846153847
Lucas-Alario,ar ARG,Leverkusen,29-038,FW,1992,145.0,6.0,1.0,0.0,0.0,0.0,0.0,0.62,33.3,3.0,17.0,65.4,0.0,0.0,0.0,33.3,21.0,3.0,3.0,75.0
Nadiem-Amiri,de GER,Leverkusen,25-019,"MF,FW",1996,279.0,9.0,2.0,1.0,0.32,1.0,0.32,0.32,16.7,6.0,138.0,84.7,3.0,1.0,0.0,34.1,44.0,7.0,4.0,50.0
Sebastian-Andersson,se SWE,Köln,30-123,FW,1991,494.0,11.0,5.0,1.0,0.18,2.0,0.36,1.28,31.8,22.0,73.0,76.0,2.0,0.0,0.0,30.8,65.0,5.0,4.0,66.66666666666666
Andres-Andrade-Cedeno,pa PAN,Arminia,23-030,DF,1998,143.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,67.0,79.8,2.0,1.0,0.0,26.1,23.0,1.0,1.0,50.0
Robert-Andrich,de GER,Leverkusen,27-054,MF,1994,371.0,7.0,4.0,2.0,0.49,2.0,0.49,0.73,37.5,8.0,126.0,76.8,14.0,1.0,0.0,40.5,74.0,10.0,8.0,72.72727272727273
Angelino,es ESP,RB Leipzig,24-315,DF,1997,580.0,8.0,7.0,0.0,0.0,1.0,0.16,0.16,20.0,5.0,241.0,67.5,12.0,0.0,0.0,34.5,55.0,9.0,3.0,30.0
Waldemar-Anton,de GER,Stuttgart,25-118,DF,1996,711.0,8.0,8.0,0.0,0.0,0.0,0.0,0.13,25.0,4.0,505.0,88.6,18.0,3.0,0.0,48.6,72.0,13.0,9.0,64.28571428571429
Christopher-Antwi-Adjei,gh GHA,Bochum,27-281,"FW,MF",1994,307.0,8.0,3.0,0.0,0.0,1.0,0.29,0.59,28.6,7.0,56.0,64.4,1.0,0.0,0.0,30.0,70.0,7.0,6.0,75.0
Charles-Aranguiz,cl CHI,Leverkusen,32-212,MF,1989,517.0,6.0,6.0,0.0,0.0,1.0,0.17,0.0,0.0,2.0,288.0,86.2,13.0,2.0,0.0,38.5,135.0,16.0,13.0,76.47058823529412
Maximilian-Arnold,de GER,Wolfsburg,27-172,MF,1994,990.0,11.0,11.0,1.0,0.09,0.0,0.0,0.45,35.7,14.0,515.0,81.7,20.0,2.0,0.0,34.0,162.0,12.0,8.0,61.53846153846154
Takuma-Asano,jp JPN,Bochum,27-005,FW,1994,426.0,8.0,5.0,0.0,0.0,1.0,0.21,0.42,33.3,6.0,56.0,65.9,3.0,1.0,0.0,21.5,107.0,2.0,1.0,33.33333333333333
Santiago-Ascacibar,ar ARG,Hertha BSC,24-263,MF,1997,709.0,8.0,8.0,0.0,0.0,0.0,0.0,0.13,25.0,4.0,303.0,82.6,18.0,3.0,0.0,35.8,187.0,32.0,22.0,66.66666666666666
Simon-Asta,de GER,Greuther Fürth,20-294,DF,2001,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,71.4,6.0,0.0,0.0,38.9,18.0,2.0,1.0,33.33333333333333
Taiwo-Awoniyi,ng NGA,Union Berlin,24-095,FW,1997,789.0,11.0,11.0,7.0,0.8,1.0,0.11,1.37,44.4,27.0,109.0,67.7,2.0,2.0,0.0,32.4,136.0,6.0,4.0,57.14285714285714
Mitchel-Bakker,nl NED,Leverkusen,21-148,DF,2000,750.0,9.0,8.0,0.0,0.0,3.0,0.36,0.12,20.0,5.0,406.0,83.2,21.0,0.0,0.0,27.6,105.0,16.0,8.0,47.05882352941176
Ridle-Baku,de GER,Wolfsburg,23-221,"FW,DF",1998,789.0,11.0,9.0,2.0,0.23,1.0,0.11,0.57,26.3,19.0,267.0,76.7,11.0,0.0,0.0,31.7,139.0,10.0,4.0,36.36363636363637
Aymen-Barkok,ma MAR,Eint Frankfurt,23-178,"FW,DF",1998,95.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,68.3,3.0,0.0,0.0,28.6,28.0,4.0,3.0,60.0
Leandro-Barreiro-Martins,lu LUX,Mainz 05,21-316,MF,2000,674.0,11.0,8.0,0.0,0.0,0.0,0.0,0.4,30.0,10.0,115.0,71.4,13.0,3.0,0.0,28.7,181.0,32.0,16.0,48.484848484848484
Jacob-Barrett-Laursen,dk DEN,Arminia,26-363,DF,1994,809.0,10.0,10.0,2.0,0.22,0.0,0.0,0.44,57.1,7.0,285.0,68.7,17.0,6.0,0.0,35.6,118.0,14.0,11.0,73.33333333333333
Abdourahmane-Barry,fr FRA,Greuther Fürth,21-267,"DF,MF",2000,101.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,70.5,5.0,2.0,0.0,28.6,21.0,7.0,3.0,37.5
Maximilian-Bauer,de GER,Greuther Fürth,21-279,DF,2000,720.0,8.0,8.0,0.0,0.0,0.0,0.0,0.12,33.3,3.0,265.0,77.0,13.0,4.0,0.0,42.1,107.0,18.0,13.0,68.42105263157895
Oliver-Baumann,de GER,Hoffenheim,31-166,GK,1990,990.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,77.9,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0
Timo-Baumgartl,de GER,Union Berlin,25-256,DF,1996,651.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,265.0,82.0,10.0,3.0,0.0,44.0,109.0,19.0,9.0,45.0
Julian-Baumgartlinger,at AUT,Leverkusen,33-317,MF,1988,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,87.5,0.0,0.0,0.0,66.7,3.0,1.0,1.0,50.0
Christoph-Baumgartner,at AUT,Hoffenheim,22-106,"MF,FW",1999,558.0,9.0,7.0,3.0,0.48,0.0,0.0,0.81,45.5,11.0,139.0,70.9,5.0,2.0,0.0,30.1,83.0,7.0,7.0,87.5
Noah-Joel-Sarenren-Bazee,ng NGA,Augsburg,25-086,"DF,FW",1996,42.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,80.0,1.0,1.0,0.0,25.0,8.0,2.0,1.0,33.33333333333333
Ihlas-Bebou,tg TOG,Hoffenheim,27-206,FW,1994,501.0,7.0,7.0,2.0,0.36,1.0,0.18,0.36,18.2,11.0,95.0,70.9,2.0,1.0,0.0,26.0,104.0,8.0,7.0,77.77777777777779
Sheraldo-Becker,sr SUR,Union Berlin,26-279,FW,1995,266.0,6.0,3.0,1.0,0.34,2.0,0.68,1.69,100.0,5.0,37.0,50.7,3.0,0.0,0.0,23.5,34.0,2.0,0.0,0.0
Kevin-Behrens,de GER,Union Berlin,30-285,"FW,MF",1991,176.0,9.0,0.0,1.0,0.51,3.0,1.53,0.51,25.0,4.0,48.0,66.7,3.0,0.0,0.0,22.5,40.0,2.0,2.0,66.66666666666666
Ishak-Belfodil,dz ALG,Hertha BSC,29-307,FW,1992,252.0,6.0,2.0,0.0,0.0,0.0,0.0,0.71,66.7,3.0,47.0,62.7,1.0,1.0,0.0,18.6,43.0,4.0,1.0,20.0
Stefan-Bell,de GER,Mainz 05,30-083,DF,1991,944.0,11.0,11.0,1.0,0.1,0.0,0.0,0.19,20.0,10.0,375.0,80.0,14.0,7.0,0.0,39.2,97.0,21.0,13.0,59.09090909090909
Armel-Bella-Kotchap,de GER,Bochum,19-339,DF,2001,533.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,147.0,80.3,13.0,8.0,0.0,36.8,68.0,9.0,6.0,60.0
Karim-Bellarabi,de GER,Leverkusen,31-221,"FW,DF",1990,189.0,6.0,3.0,1.0,0.48,1.0,0.48,1.43,50.0,6.0,40.0,67.8,3.0,0.0,0.0,31.4,35.0,2.0,1.0,33.33333333333333
Jude-Bellingham,eng ENG,Dortmund,18-139,MF,2003,951.0,11.0,11.0,2.0,0.19,8.0,0.76,0.57,42.9,14.0,418.0,84.6,15.0,2.0,0.0,35.3,232.0,23.0,16.0,66.66666666666666
Laszlo-Benes,sk SVK,M'Gladbach,24-067,MF,1997,46.0,5.0,0.0,0.0,0.0,1.0,1.96,3.91,100.0,2.0,33.0,80.5,0.0,0.0,0.0,16.7,12.0,0.0,0.0,0.0
Keanan-Bennetts,eng ENG,M'Gladbach,22-251,"FW,DF",1999,48.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,72.7,0.0,0.0,0.0,20.0,10.0,1.0,0.0,0.0
Ramy-Bensebaini,dz ALG,M'Gladbach,26-213,DF,1995,406.0,5.0,4.0,0.0,0.0,1.0,0.22,0.22,14.3,7.0,263.0,81.4,20.0,3.0,0.0,38.9,54.0,10.0,6.0,54.54545454545454
Louis-Beyer,de GER,M'Gladbach,21-180,DF,2000,540.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,400.0,90.9,10.0,2.0,0.0,36.1,72.0,18.0,6.0,31.57894736842105
Danny-Blum,de GER,Bochum,30-312,FW,1991,198.0,6.0,2.0,2.0,0.91,0.0,0.0,1.36,60.0,5.0,66.0,66.0,4.0,0.0,0.0,31.0,29.0,0.0,0.0,0.0
Kevin-Prince-Boateng,gh GHA,Hertha BSC,34-254,MF,1987,254.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,106.0,82.2,3.0,1.0,0.0,13.3,30.0,2.0,1.0,33.33333333333333
Herbert-Bockhorn,de GER,Bochum,26-288,DF,1995,350.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,98.0,69.0,9.0,0.0,0.0,24.6,69.0,9.0,6.0,60.0
Jean-Paul-Boetius,nl NED,Mainz 05,27-238,MF,1994,732.0,10.0,8.0,0.0,0.0,3.0,0.37,0.49,40.0,10.0,228.0,68.7,9.0,0.0,0.0,33.5,215.0,16.0,12.0,70.58823529411765
Sebastiaan-Bornauw,be BEL,Wolfsburg,22-238,DF,1999,382.0,7.0,5.0,0.0,0.0,0.0,0.0,0.24,25.0,4.0,274.0,90.7,9.0,2.0,0.0,32.4,37.0,6.0,3.0,42.857142857142854
Rafael-Borre,co COL,Eint Frankfurt,26-061,"FW,MF",1995,838.0,11.0,9.0,2.0,0.21,1.0,0.11,0.75,35.0,20.0,182.0,71.1,2.0,2.0,0.0,29.9,224.0,12.0,11.0,84.61538461538461
Dedryck-Boyata,be BEL,Hertha BSC,30-352,DF,1990,634.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,274.0,89.5,9.0,5.0,0.0,30.0,30.0,8.0,6.0,66.66666666666666
Julian-Brandt,de GER,Dortmund,25-197,"MF,FW",1996,547.0,8.0,6.0,2.0,0.33,4.0,0.66,0.49,50.0,6.0,264.0,77.9,6.0,0.0,0.0,31.2,125.0,10.0,7.0,63.63636363636363
Iker-Bravo,es ESP,Leverkusen,16-306,FW,2005,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,3.0,0.0,0.0,0.0
Fabian-Bredlow,de GER,Stuttgart,26-258,GK,1995,360.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josip-Brekalo,hr CRO,Wolfsburg,23-145,MF,1998,21.0,1.0,0.0,0.0,0.0,1.0,4.29,0.0,0.0,0.0,13.0,72.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian-Brobbey,nl NED,RB Leipzig,19-287,"FW,DF",2002,40.0,3.0,0.0,0.0,0.0,1.0,2.25,0.0,0.0,0.0,9.0,75.0,0.0,0.0,0.0,42.9,7.0,0.0,0.0,0.0
John-Brooks,us USA,Wolfsburg,28-291,DF,1993,780.0,10.0,8.0,0.0,0.0,0.0,0.0,0.12,25.0,4.0,511.0,88.7,13.0,4.0,0.0,39.0,59.0,11.0,7.0,58.333333333333336
Daniel-Brosinski,de GER,Mainz 05,33-121,DF,1988,174.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,58.1,3.0,0.0,0.0,15.8,19.0,2.0,1.0,33.33333333333333
Cedric-Brunner,ch SUI,Arminia,27-271,DF,1994,821.0,10.0,10.0,0.0,0.0,1.0,0.11,0.0,0.0,5.0,262.0,65.8,22.0,4.0,0.0,29.4,102.0,20.0,13.0,61.904761904761905
Jacob-Bruun-Larsen,dk DEN,Hoffenheim,23-057,"FW,MF",1998,432.0,10.0,6.0,3.0,0.62,0.0,0.0,0.83,44.4,9.0,112.0,73.7,3.0,1.0,0.0,25.0,64.0,1.0,0.0,0.0
Sascha-Burchert,de GER,Greuther Fürth,32-016,GK,1989,540.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,63.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Jonathan-Burkardt,de GER,Mainz 05,21-127,FW,2000,804.0,11.0,10.0,5.0,0.56,3.0,0.34,1.34,52.2,23.0,127.0,74.3,3.0,1.0,0.0,31.8,154.0,3.0,2.0,50.0
Daniel-Caligiuri,it ITA,Augsburg,33-304,"MF,DF",1988,744.0,11.0,9.0,0.0,0.0,2.0,0.24,0.85,43.8,16.0,201.0,65.7,5.0,3.0,0.0,24.1,174.0,21.0,13.0,59.09090909090909
Emre-Can,de GER,Dortmund,27-307,MF,1994,195.0,4.0,2.0,1.0,0.46,0.0,0.0,0.0,0.0,3.0,160.0,87.9,3.0,1.0,0.0,51.3,39.0,10.0,8.0,72.72727272727273
Koen-Casteels,be BEL,Wolfsburg,29-143,GK,1992,990.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,80.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Timothy-Chandler,us USA,Eint Frankfurt,31-231,DF,1990,226.0,4.0,3.0,0.0,0.0,0.0,0.0,0.4,100.0,1.0,55.0,65.5,2.0,2.0,0.0,24.1,29.0,1.0,0.0,0.0
Max-Christiansen,de GER,Greuther Fürth,25-051,MF,1996,346.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,137.0,82.0,15.0,0.0,0.0,31.2,77.0,10.0,6.0,54.54545454545454
Kingsley-Coman,fr FRA,Bayern Munich,25-155,FW,1996,231.0,6.0,2.0,2.0,0.78,1.0,0.39,1.17,23.1,13.0,105.0,78.4,3.0,0.0,0.0,13.3,30.0,4.0,1.0,20.0
Sergio-Cordova,ve VEN,Augsburg,24-098,"FW,DF",1997,215.0,7.0,2.0,0.0,0.0,0.0,0.0,0.42,33.3,3.0,27.0,67.5,0.0,0.0,0.0,38.3,47.0,3.0,2.0,50.0
Danny-da-Costa,de GER,Eint Frankfurt,28-125,DF,1993,301.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,64.6,11.0,2.0,0.0,25.0,36.0,4.0,2.0,40.0
Tanguy-Coulibaly,fr FRA,Stuttgart,20-270,"DF,FW",2001,524.0,8.0,5.0,0.0,0.0,1.0,0.17,0.17,20.0,5.0,130.0,81.3,5.0,1.0,0.0,20.8,106.0,14.0,7.0,46.666666666666664
Matheus-Cunha,br BRA,Hertha BSC,22-172,FW,1999,64.0,1.0,1.0,0.0,0.0,1.0,1.41,1.41,33.3,3.0,12.0,92.3,1.0,0.0,0.0,27.3,11.0,0.0,0.0,0.0
Rafael-Czichos,de GER,Köln,31-185,DF,1990,866.0,11.0,10.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,531.0,84.3,28.0,7.0,0.0,43.2,95.0,14.0,10.0,66.66666666666666
Lennart-Marten-Czyborra,de GER,Arminia,22-196,DF,1999,131.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,50.9,6.0,0.0,0.0,29.4,17.0,1.0,1.0,50.0
Moanes-Dabour,il ISR,Hoffenheim,29-185,"MF,FW",1992,179.0,6.0,2.0,1.0,0.5,1.0,0.5,0.5,33.3,3.0,52.0,75.4,2.0,0.0,0.0,16.7,36.0,3.0,2.0,50.0
Mahmoud-Dahoud,de GER,Dortmund,25-318,MF,1996,482.0,6.0,6.0,0.0,0.0,1.0,0.19,0.0,0.0,6.0,237.0,81.4,6.0,0.0,0.0,40.2,92.0,10.0,7.0,63.63636363636363
Marton-Dardai,de GER,Hertha BSC,19-276,DF,2002,484.0,6.0,6.0,0.0,0.0,1.0,0.19,0.37,66.7,3.0,159.0,74.6,8.0,4.0,1.0,46.0,50.0,8.0,3.0,33.33333333333333
Vladimir-Darida,cz CZE,Hertha BSC,31-099,MF,1990,413.0,7.0,6.0,0.0,0.0,4.0,0.87,0.22,25.0,4.0,130.0,71.0,3.0,0.0,0.0,25.7,70.0,6.0,3.0,42.857142857142854
Alphonso-Davies,ca CAN,Bayern Munich,21-013,DF,2000,801.0,10.0,10.0,0.0,0.0,5.0,0.56,0.45,57.1,7.0,511.0,84.2,12.0,1.0,0.0,36.4,132.0,24.0,13.0,52.0
Saulo-Decarli,ch SUI,Bochum,29-284,DF,1992,9.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,1.0,6.0,100.0,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0
Thomas-Delaney,dk DEN,Dortmund,30-073,MF,1991,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,73.3,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Kerem-Demirbay,de GER,Leverkusen,28-135,MF,1993,921.0,11.0,10.0,1.0,0.1,5.0,0.49,0.59,40.0,15.0,468.0,74.3,23.0,3.0,0.0,34.9,192.0,32.0,21.0,63.63636363636363
Ermedin-Demirovic,ba BIH,Freiburg,23-235,FW,1998,113.0,10.0,0.0,0.0,0.0,0.0,0.0,0.8,25.0,4.0,12.0,63.2,2.0,0.0,0.0,22.6,31.0,3.0,0.0,0.0
Mike-van-der-Hoorn,nl NED,Arminia,29-031,DF,1992,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,0.0,0.0,60.0,5.0,2.0,2.0,66.66666666666666
Moussa-Diaby,fr FRA,Leverkusen,22-131,FW,1999,811.0,10.0,10.0,4.0,0.44,2.0,0.22,1.0,56.3,16.0,195.0,77.4,7.0,0.0,0.0,24.7,85.0,6.0,5.0,71.42857142857143
Daniel-Didavi,de GER,Stuttgart,31-267,"MF,FW",1990,257.0,9.0,2.0,0.0,0.0,1.0,0.35,1.05,42.9,7.0,74.0,70.5,1.0,1.0,0.0,25.8,66.0,8.0,1.0,11.11111111111111
Javairo-Dilrosun,nl NED,Hertha BSC,23-146,FW,1998,138.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,76.5,2.0,0.0,0.0,22.9,35.0,3.0,1.0,25.0
Niklas-Dorsch,de GER,Augsburg,23-304,MF,1998,575.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,206.0,82.1,15.0,3.0,0.0,34.9,109.0,16.0,13.0,76.47058823529412
Ondrej-Duda,sk SVK,Köln,26-345,MF,1994,630.0,11.0,7.0,0.0,0.0,0.0,0.0,0.86,33.3,18.0,213.0,74.7,16.0,0.0,0.0,36.8,133.0,14.0,12.0,80.0
Jeremy-Dudziak,tn TUN,Greuther Fürth,26-079,"MF,FW",1995,440.0,7.0,5.0,0.0,0.0,2.0,0.41,0.2,16.7,6.0,95.0,63.3,9.0,0.0,0.0,18.6,113.0,3.0,1.0,25.0
Erik-Durm,de GER,Eint Frankfurt,29-187,DF,1992,474.0,7.0,7.0,0.0,0.0,2.0,0.38,0.0,0.0,1.0,190.0,69.3,11.0,1.0,0.0,33.8,68.0,15.0,6.0,37.5
Maximilian-Eggestein,de GER,Freiburg,24-342,MF,1996,599.0,10.0,7.0,0.0,0.0,1.0,0.15,0.0,0.0,6.0,137.0,69.5,10.0,6.0,0.0,30.3,122.0,17.0,8.0,44.44444444444444
Kingsley-Ehizibue,nl NED,Köln,26-174,DF,1995,262.0,7.0,2.0,0.0,0.0,1.0,0.34,0.0,0.0,2.0,96.0,68.6,6.0,2.0,0.0,34.2,79.0,11.0,5.0,41.66666666666667
Jurgen-Ekkelenkamp,nl NED,Hertha BSC,21-224,"FW,MF",2000,206.0,7.0,1.0,2.0,0.87,0.0,0.0,0.87,50.0,4.0,37.0,67.3,3.0,1.0,0.0,27.8,36.0,2.0,1.0,33.33333333333333
Nico-Elvedi,ch SUI,M'Gladbach,25-046,DF,1996,927.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,697.0,94.8,17.0,8.0,0.0,44.4,63.0,15.0,5.0,31.25
Breel-Embolo,ch SUI,M'Gladbach,24-274,FW,1997,504.0,8.0,6.0,1.0,0.18,1.0,0.18,0.54,33.3,9.0,99.0,75.6,4.0,1.0,0.0,28.9,97.0,8.0,5.0,55.55555555555556
Keita-Endo,jp JPN,Union Berlin,23-358,MF,1997,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,33.3,6.0,1.0,0.0,0.0
Wataru-Endo,jp JPN,Stuttgart,28-279,MF,1993,971.0,11.0,11.0,1.0,0.09,2.0,0.19,0.56,54.5,11.0,505.0,84.6,21.0,3.0,0.0,34.1,220.0,26.0,17.0,62.96296296296296
Wahidullah-Faghir,dk DEN,Stuttgart,18-109,FW,2003,106.0,4.0,0.0,1.0,0.85,1.0,0.85,0.85,20.0,5.0,17.0,63.0,1.0,0.0,0.0,28.6,21.0,1.0,0.0,0.0
Omer-Faruk-Beyaz,tr TUR,Stuttgart,18-078,"FW,DF",2003,36.0,2.0,0.0,0.0,0.0,0.0,0.0,2.5,100.0,1.0,16.0,66.7,1.0,0.0,0.0,47.4,19.0,3.0,3.0,75.0
Adrian-Fein,de GER,Greuther Fürth,22-242,MF,1999,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,66.7,2.0,0.0,0.0,8.3,12.0,0.0,0.0,0.0
Ohis-Felix-Uduokhai,de GER,Augsburg,24-067,DF,1997,270.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,119.0,82.1,5.0,4.0,0.0,40.5,37.0,4.0,2.0,40.0
Edimilson-Fernandes,ch SUI,Arminia,25-214,"DF,MF",1996,209.0,5.0,2.0,0.0,0.0,0.0,0.0,0.43,33.3,3.0,77.0,76.2,2.0,2.0,1.0,36.6,41.0,3.0,3.0,75.0
Alfred-Finnbogason,is ISL,Augsburg,32-287,"FW,MF",1989,141.0,3.0,2.0,1.0,0.64,2.0,1.28,1.28,66.7,3.0,19.0,63.3,0.0,1.0,0.0,16.7,24.0,2.0,0.0,0.0
Mark-Flekken,nl NED,Freiburg,28-155,GK,1993,990.0,11.0,11.0,0.0,0.0,1.0,0.09,0.0,0.0,0.0,312.0,67.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Emil-Forsberg,se SWE,RB Leipzig,30-023,"MF,FW",1991,638.0,11.0,7.0,4.0,0.56,0.0,0.0,0.85,30.0,20.0,197.0,79.1,3.0,0.0,0.0,40.7,108.0,13.0,9.0,64.28571428571429
Philipp-Forster,de GER,Stuttgart,26-284,"FW,MF",1995,309.0,6.0,3.0,0.0,0.0,2.0,0.58,0.29,12.5,8.0,165.0,89.2,3.0,0.0,0.0,18.4,76.0,6.0,2.0,28.57142857142857
Raphael-Framberger,de GER,Augsburg,26-070,"DF,MF",1995,290.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71.0,62.3,3.0,1.0,0.0,33.3,45.0,4.0,2.0,40.0
Marvin-Friedrich,de GER,Union Berlin,25-337,DF,1995,719.0,8.0,8.0,0.0,0.0,0.0,0.0,0.38,27.3,11.0,311.0,76.4,19.0,1.0,0.0,34.5,113.0,10.0,7.0,63.63636363636363
Jeremie-Frimpong,nl NED,Leverkusen,20-340,DF,2000,958.0,11.0,11.0,0.0,0.0,3.0,0.28,0.09,20.0,5.0,450.0,80.1,19.0,4.0,0.0,28.8,139.0,17.0,8.0,44.44444444444444
Chris-Fuhrich,de GER,Stuttgart,23-310,"FW,DF",1998,302.0,5.0,4.0,1.0,0.3,1.0,0.3,0.89,75.0,4.0,108.0,88.5,6.0,0.0,0.0,30.3,66.0,7.0,4.0,50.0
Marius-Funk,de GER,Greuther Fürth,25-318,GK,1996,450.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,61.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Stephan-Furstner,de GER,Mainz 05,34-065,MF,1987,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Mijat-Gacinovic,rs SRB,Hoffenheim,26-280,"FW,DF",1995,110.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,84.8,2.0,0.0,0.0,26.3,19.0,3.0,2.0,50.0
Cristian-Gamboa,cr CRC,Bochum,32-022,DF,1989,374.0,6.0,5.0,0.0,0.0,1.0,0.24,0.0,0.0,1.0,126.0,68.5,17.0,0.0,0.0,19.1,68.0,11.0,6.0,50.0
Silvere-Ganvoula-M'Boussy,cg CGO,Bochum,25-146,"FW,DF",1996,42.0,3.0,0.0,0.0,0.0,0.0,0.0,2.14,25.0,4.0,14.0,77.8,0.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0
Linus-Gechter,de GER,Hertha BSC,17-261,DF,2004,120.0,3.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,1.0,52.0,80.0,3.0,0.0,0.0,28.6,14.0,4.0,4.0,80.0
