Joueur,nationalite,equipe,age,poste,date_naissance,temps_de_jeu,matchs_joues,matchs_debutes,but_marques,but_marques_90,action_menant_but,action_menant_but_90,tirs_cardres_90,tirs_cardres_pourcent,tirs_total,passes_completees,passes_completees_pourcent,interceptions,tirs_blockes,tirs_menant_but_blockes,pressions_recupant_ball_pourcent,pressions,tackles,tackles_reussi,tackle_reussi_pct
Jose-Juan-Macias,mx MEX,Getafe,22-054,"FW,MF",1999,201.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,66.7,0.0,0.0,0.0,19.1,47.0,0.0,0.0,0.0
Juanmi,es ESP,Betis,28-179,FW,1993,570.0,11.0,7.0,4.0,0.63,2.0,0.32,1.42,69.2,13.0,106.0,77.4,6.0,0.0,0.0,27.3,132.0,14.0,9.0,60.0
Lago-Junior,ci CIV,Mallorca,30-319,"FW,MF",1990,177.0,6.0,1.0,0.0,0.0,0.0,0.0,0.51,16.7,6.0,27.0,56.3,3.0,0.0,0.0,25.0,40.0,3.0,3.0,75.0
Vinicius-Junior,br BRA,Real Madrid,21-126,"FW,MF",2000,913.0,12.0,10.0,7.0,0.69,8.0,0.79,1.48,51.7,29.0,348.0,83.9,4.0,1.0,0.0,26.4,163.0,14.0,11.0,73.33333333333333
Jens-Jonsson,dk DEN,Cádiz,28-309,MF,1993,667.0,12.0,9.0,0.0,0.0,2.0,0.27,0.0,0.0,4.0,121.0,77.1,12.0,2.0,0.0,37.4,139.0,24.0,19.0,76.0
Lee-Kangin,kr KOR,Mallorca,20-269,MF,2001,551.0,9.0,7.0,1.0,0.16,2.0,0.33,0.98,40.0,15.0,150.0,72.8,6.0,1.0,0.0,19.8,81.0,2.0,2.0,66.66666666666666
Kike,es ESP,Osasuna,31-355,"FW,MF",1989,898.0,13.0,10.0,2.0,0.2,2.0,0.2,0.8,42.1,19.0,163.0,69.4,3.0,2.0,0.0,27.2,173.0,8.0,6.0,66.66666666666666
Koba-Koindredi,fr FRA,Valencia,20-019,MF,2001,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,81.3,0.0,0.0,0.0,46.2,13.0,1.0,1.0,50.0
Koke,es ESP,Atlético Madrid,29-311,MF,1992,785.0,9.0,9.0,0.0,0.0,2.0,0.23,0.23,66.7,3.0,469.0,87.5,8.0,3.0,0.0,32.7,147.0,15.0,10.0,62.5
Geoffrey-Kondogbia,cf CTA,Atlético Madrid,28-273,"MF,DF",1993,399.0,8.0,4.0,0.0,0.0,1.0,0.23,0.0,0.0,5.0,209.0,88.6,14.0,2.0,0.0,34.8,66.0,15.0,8.0,50.0
Jules-Kounde,fr FRA,Sevilla,23-003,DF,1998,900.0,10.0,10.0,0.0,0.0,0.0,0.0,0.1,16.7,6.0,704.0,93.0,23.0,3.0,0.0,34.8,69.0,7.0,3.0,37.5
Toni-Kroos,de GER,Real Madrid,31-315,MF,1990,420.0,5.0,5.0,1.0,0.21,0.0,0.0,0.64,33.3,9.0,364.0,90.1,4.0,1.0,1.0,24.1,87.0,9.0,3.0,30.0
Takefusa-Kubo,jp JPN,Mallorca,20-164,"MF,FW",2001,412.0,6.0,5.0,0.0,0.0,1.0,0.22,0.22,11.1,9.0,87.0,79.1,9.0,0.0,0.0,16.7,78.0,2.0,2.0,66.66666666666666
Victor-Laguardia,es ESP,Alavés,32-010,DF,1989,990.0,11.0,11.0,1.0,0.09,1.0,0.09,0.18,28.6,7.0,338.0,81.6,11.0,8.0,1.0,30.3,76.0,11.0,6.0,50.0
Diego-Lainez,mx MEX,Betis,21-159,"MF,FW",2000,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Erik-Lamela,ar ARG,Sevilla,29-256,FW,1992,604.0,12.0,5.0,4.0,0.6,2.0,0.3,1.04,46.7,15.0,230.0,83.9,4.0,0.0,0.0,34.9,149.0,23.0,19.0,79.16666666666666
Toni-Lato,es ESP,Valencia,23-359,DF,1997,317.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,80.4,7.0,1.0,0.0,34.9,63.0,10.0,6.0,54.54545454545454
Robin-Le-Normand,fr FRA,Real Sociedad,25-004,DF,1996,1170.0,13.0,13.0,0.0,0.0,1.0,0.08,0.0,0.0,4.0,685.0,91.0,19.0,4.0,0.0,39.4,94.0,11.0,7.0,58.333333333333336
Jeremias-Ledesma,ar ARG,Cádiz,28-275,GK,1993,1170.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,49.5,1.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0
