_id,player,captain,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp
618f94ab88307f48ce0ab7ba,Joni-Montiel,Javi Lopez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7bb,Martin-Montoya,Martin Mantovani,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
618f94ab88307f48ce0ab7bc,Jasper-Moon,Grant Hanley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7bd,Liam-Moore,Tommy Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
618f94ab88307f48ce0ab7be,Taylor-Moore,Steve Cook,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
618f94ab88307f48ce0ab7bf,Jordan-Moore-Taylor,Sam Hird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7c0,Anna-Moorhouse,Josephine Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7c1,Aaron-Mooy,Claudio Bravo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7c2,Aaron-Mooy,Lewis Dunk,0.11,0.36,0.0,7.25,0.68,0.43,0.86,0.39
618f94ab88307f48ce0ab7c3,Wesley-Moraes,Granit Xhaka,0.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7c4,Alvaro-Morata,Ansi Agolli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7c5,Alvaro-Morata,Ashley Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7c6,Morato,Jardel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7c7,Pedro-Filipe-Barbosa-Moreira,Joaozinho,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.5
618f94ab88307f48ce0ab7c8,Jorge-Morel,Paulo da Silva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7c9,Alex-Moreno,Cristian Bustos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7ca,Alex-Moreno,Daniel Toribio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7cb,Gerard-Moreno,Gonzalo Melero,1.0,2.0,0.0,7.0,0.0,0.0,1.0,0.5
618f94ab88307f48ce0ab7cc,Omenuke-Mfulu,Jose Mari,0.0,0.0,0.0,6.0,1.0,2.0,0.0,1.0
618f94ab88307f48ce0ab7cd,Alessio-Miceli,Tijs Velthuis,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
618f94ab88307f48ce0ab7ce,Konrad-Michalak,Miroslav Covilo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7cf,Konrad-Michalak,Soslan Dzhanayev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7d0,Ryohei-Michibuchi,Hiroshi Kiyotake,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
618f94ab88307f48ce0ab7d1,Ryohei-Michibuchi,Hidekazu Otani,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7d2,Glenn-Middleton,Borna Barisic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7d3,Fredrik-Midtsjo,Ragnar Klavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7d4,Javier-Mier,Dani Jimenez,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7d5,Ramon-Mierez,Jorge Zarfino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7d6,Ramon-Mierez,Valentin Antov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7d7,Alexander-Mighten,Matt Grimes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
