_id,player,year,comp,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp
618f94ac88307f48ce0b122a,Nico-Moos,2021,DFB-Pokal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b122b,Gape-Moralo,2020,Premier Division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62
618f94ac88307f48ce0b122c,Alvaro-Morata,2018,Friendlies (M),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b122d,Amando-Moreno,2021,Gold Cup,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5
618f94ac88307f48ce0b122e,Stuart-Moore,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b122f,Deni-Milosevic,2018,UEFA Nations League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88
618f94ac88307f48ce0b1230,Santi-Mina,2020,La Liga,0.24,0.47,0.06,10.18,0.65,0.24,0.59,0.49
618f94ac88307f48ce0b1231,Stefano-Minelli,2019,Serie B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
618f94ac88307f48ce0b1232,Miranda,2016,Copa América Centenario,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.25
618f94ac88307f48ce0b1233,Jonathan-Mitchell,2020,EFL Cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ac88307f48ce0b1234,Koji-Miyoshi,2021,Europa Lg,0.0,0.67,0.0,3.5,0.5,0.33,0.67,0.17
618f94ac88307f48ce0b1235,Maren-Mjelde,2020,Algarve Cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
618f94ac88307f48ce0b1236,Henrikh-Mkhitaryan,2017,Friendlies (M),0.0,0.0,0.33,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b1237,Hrayr-Mkoyan,2017,Pro League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
618f94ac88307f48ce0b1238,Nemanja-Milovanovic,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b1239,Maximiliano-Meza,2015,Primera Div,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.53
618f94ac88307f48ce0b123a,Florian-Michel,2020,Ligue 2,0.0,0.07,0.07,0.0,0.0,0.43,0.0,0.57
618f94ac88307f48ce0b123b,Fabian-Miesenbock,2019,Bundesliga,0.0,0.38,0.0,0.0,0.0,0.31,0.0,0.25
618f94ac88307f48ce0b123c,Nemanja-Mihajlovic,2017,SuperLiga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97
618f94ac88307f48ce0b123d,Milan-Mijatovic,2021,NB I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
618f94ac88307f48ce0b123e,Georgi-Milanov,2018,Europa Lg,0.08,0.08,0.08,4.5,0.42,0.42,0.42,0.46
618f94ac88307f48ce0b123f,Cavanagh-Miley,2020,National League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
618f94ac88307f48ce0b1240,David-Moberg-Karlsson,2021,First League,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.78
618f94ac88307f48ce0b1241,Pavel-Mogilevets,2017,Premier League,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.57
618f94ac88307f48ce0b1242,Sayed-Mohamed-Adnan,2008,WCQ — AFC (M),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ac88307f48ce0b1243,Sayed-Mohamed-Adnan,2010,AFC Asian Cup qualification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ac88307f48ce0b1244,Hamza-Mohamed,2018,AFC Asian Cup qualification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b1245,Mostafa-Mohamed,2021,WCQ — CAF (M),0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.83
618f94ac88307f48ce0b1246,Milad-Mohammadi,2020,First Division A,0.0,0.08,0.12,0.0,0.0,0.54,0.0,0.5
618f94ac88307f48ce0b1247,Jorge-Molina,2016,La Liga,0.0,0.25,0.06,0.0,0.0,0.25,0.0,0.5
618f94ac88307f48ce0b1248,Florent-Mollet,2017,Ligue 1,0.04,0.42,0.0,2.35,0.15,0.5,0.15,0.31
618f94ac88307f48ce0b1249,Jordy-Monroy,2021,Friendlies (M),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
618f94ac88307f48ce0b124a,Michael-Moffat,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b124b,Angel-Montoro,2014,Segunda División,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
618f94ac88307f48ce0b124c,Simon-Moore,2018,FA Cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
